nom;hippodrome;partants;victoires
S. TRIBOURDEAU;ARGENTAN;3;1
G. DELACOUR;ARGENTAN;2;0
M. CHARUEL;ARGENTAN;2;0
S. ERNAULT;ARGENTAN;6;2
J. BALU;ARGENTAN;1;0
A. FAVRIS;ARGENTAN;6;2
E. SZIRMAY;ARGENTAN;2;0
P. PELLEROT;ARGENTAN;2;1
S. GOUGEON;ARGENTAN;4;0
CH. ECALARD;ARGENTAN;1;0
G. LESSIEU;ARGENTAN;4;0
L. LABBE;ARGENTAN;2;0
H. LECOT;ARGENTAN;1;0
MME D. ODIENNE;ARGENTAN;1;0
CH. PETREMENT;ARGENTAN;1;0
G. DONIO;ARGENTAN;3;0
G. CASTEL;ARGENTAN;1;0
T. LE BELLER;ARGENTAN;2;0
A. ANDRE;ARGENTAN;2;0
N. PERRELLE;ARGENTAN;1;0
C. DEFFAUX;ARGENTAN;2;0
T. THIEULENT;ARGENTAN;2;0
J. TRAVERS;ARGENTAN;4;0
C. GODARD;ARGENTAN;3;0
G. BLANDIN;ARGENTAN;3;1
R. CORBIN;ARGENTAN;1;0
R. LAMY;ARGENTAN;14;3
L. LEGRAND;ARGENTAN;1;0
L. CASTEL;ARGENTAN;1;0
G. LEMAITRE;ARGENTAN;3;0
V.M. MORIN;ARGENTAN;1;0
R. BLACHET;ARGENTAN;1;0
A. RINGLER;ARGENTAN;1;0
G. DESPREZ;ARGENTAN;1;0
A. HEMON;ARGENTAN;2;0
Y. JULIEN;ARGENTAN;1;0
FL. BUTTIER;ARGENTAN;4;1
G. D'HAENENS;ARGENTAN;1;0
R. VILAULT;ARGENTAN;1;0
TH. VIAUD;ARGENTAN;2;0
MLLE E. VALLETTE;ARGENTAN;1;0
A. LEFAUCHEUX;ARGENTAN;1;1
MLLE CH. SABIN;ARGENTAN;1;0
MEWENN BOURLIER;VINCENNES;2;0
M. GOETZ;VINCENNES;7;1
J. GRANDIN;VINCENNES;2;0
J. FERRON;VINCENNES;4;0
MME L. THORAVAL;VINCENNES;1;0
J. PLASSAIS;VINCENNES;1;0
MME A. BOURGOIN;VINCENNES;9;1
H. BAUMER;VINCENNES;4;1
MLLE CH. BANCEL;VINCENNES;1;0
TH. BELLET;VINCENNES;6;0
G. BAUDOUIN;VINCENNES;10;2
N. ROUSSEAU;VINCENNES;5;0
R. ROIG-BALAGUER;VINCENNES;5;1
R. BLACHET;VINCENNES;1;0
TH. VIAUD;VINCENNES;1;0
C. DELBECQ;VINCENNES;6;0
L. GABORIT;VINCENNES;4;0
X. DECAUDIN;LA CEPIERE;13;0
A. MARAIS;LA CEPIERE;2;0
C. GAZENGEL;LA CEPIERE;18;2
L. GOETZ;LA CEPIERE;42;8
V. FOUCAULT;LA CEPIERE;30;2
D. CRESPEL;LA CEPIERE;13;1
CEDRIC TERRY;LA CEPIERE;6;3
P. GERAY;LA CEPIERE;49;2
M.X. CHARLOT;LA CEPIERE;25;1
A. HONORE;LA CEPIERE;11;2
M. CRIADO;LA CEPIERE;68;6
TH. BRIAND;LA CEPIERE;31;6
D. BEKAERT;LA CEPIERE;6;2
V. CABOS;LA CEPIERE;25;1
L. LALANDE;LA CEPIERE;9;1
D. LAISIS;LA CEPIERE;26;3
M. GRASSET;LA CEPIERE;40;4
M. GERGOUIL;LA CEPIERE;23;0
F. MARTY;LA CEPIERE;33;6
B. VANACKER;LA CEPIERE;14;1
T. BORD;LA CEPIERE;20;0
MME G. HERITIER;LA CEPIERE;2;0
MLLE S. TREICH;LA CEPIERE;6;0
F. RODES;LA CEPIERE;4;0
N. PACHA;LA CEPIERE;17;0
A. GENDROT;LA CEPIERE;3;1
E. SALMON;LA CEPIERE;18;2
TH. DUCOS;LA CEPIERE;18;0
Y. LACOMBE;LA CEPIERE;10;1
FRANCOIS LECATHELINAIS;LA CEPIERE;1;0
C. HERSERANT;LA CEPIERE;5;0
Q. MACHET;LA CEPIERE;7;0
N. LANGLOIS;LA CEPIERE;10;1
L. SEIGNE;VINCENNES;1;0
A. DAULIER;VINCENNES;2;0
CHARLY CLOZIER;VINCENNES;1;0
MLLE A. HALLAIS;VINCENNES;1;0
F. CHAPDELAINE;VINCENNES;6;1
TH. CLAIRET;VINCENNES;2;0
MLLE S. BLANCHETIERE;VINCENNES;2;0
P.M. ALLAIS;VINCENNES;9;0
R. BERTHELOT;VINCENNES;1;0
S. LABOUTIQUE;VINCENNES;14;3
F. BERTHAULT;VINCENNES;4;0
Q.B. VERNEUIL;VINCENNES;6;0
M. PRAT;VINCENNES;1;1
JEAN MAXIME LESNE;VINCENNES;6;1
B. ROBIN;VINCENNES;46;4
C. HERIVAUX;VINCENNES;13;0
CL. DUVALDESTIN;VINCENNES;36;8
Y. LEBOURGEOIS;VINCENNES;105;6
R. CONGARD;VINCENNES;28;3
W. BIGEON;VINCENNES;19;1
TH. BRIAND;VINCENNES;12;1
N. BAZIRE;VINCENNES;107;9
E. SZIRMAY;VINCENNES;8;1
J.W. HALLAIS;VINCENNES;8;0
L. CUEFF;VINCENNES;9;0
J.F. SENET;VINCENNES;22;0
GUILLAUME MARTIN;VINCENNES;47;3
B. GOOP;VINCENNES;14;0
R. BAKKER;VINCENNES;5;0
D. WAJERSTEN;VINCENNES;2;0
A. ROZZONI;LYON LA SOIE;5;0
F. TUGEND;LYON LA SOIE;3;1
D. BEKAERT;LYON LA SOIE;43;15
F. BONNEFOY;LYON LA SOIE;5;0
J.P. GAUVIN;LYON LA SOIE;15;2
Q. CHAUVE-LAFFAY;LYON LA SOIE;33;3
J. CUOQ;LYON LA SOIE;23;2
B. RUET;LYON LA SOIE;38;1
MARTIN CORMY;LYON LA SOIE;26;1
C. TRIBOLET;LYON LA SOIE;14;0
