nom;hippodrome;partants;victoires
MLLE M. GOBET;SAINT GALMIER;3;0
MLLE B. GRIFT;SAINT GALMIER;1;0
MLLE S. BLANCHETIERE;SAINT GALMIER;1;0
PH. JEANNERET;SAINT GALMIER;1;0
CH. CARTET;SAINT GALMIER;2;0
S. ZEGHOUANI;SAINT GALMIER;1;0
B. FEDRY;SAINT GALMIER;1;0
J. LEBOUTEILLER;VINCENNES;3;0
M. CRIADO;VINCENNES;1;0
A. ANGOT;VINCENNES;1;0
N. JULIEN;CAGNES/MER;7;0
R. VILAULT;CAGNES/MER;3;0
A. ROUSSEAU;CAGNES/MER;1;0
MLLE CH. DELATTRE-COLAS;CAGNES/MER;3;0
A. PACHA;CAGNES/MER;1;0
MLLE E. ROUSSEAU;CAGNES/MER;2;0
R. LE CREPS;LYON LA SOIE;5;0
P.Y. VERVA;LYON LA SOIE;3;0
J.F. SENET;LYON LA SOIE;2;0
L. FRESNEAU;LYON LA SOIE;1;0
H. CHAUVE-LAFFAY;LYON LA SOIE;1;0
E. GOUT;LYON LA SOIE;1;0
L. GUILLEMIN;LYON LA SOIE;1;0
M. ABRIVARD;LAVAL;28;5
T. BEAUVAIS;LAVAL;6;0
O. POTIER;LAVAL;2;0
F. GUERINEAU;LAVAL;3;0
S. BAUDE;LAVAL;9;0
GUILLAUME MARTIN;LAVAL;21;1
L.G. RICHARD;LAVAL;2;0
E. RAFFIN;LAVAL;47;14
W. PLAIRE;LAVAL;5;0
C. HERIVAUX;LAVAL;5;0
MLLE C. VEYRET;LAVAL;3;0
E. LETOUZE;LAVAL;1;0
TH. CHALON;LAVAL;7;0
ADRIEN BLANDIN;LAVAL;1;0
F. LAGADEUC;LAVAL;8;1
R. MARTY;LAVAL;2;0
M. LEMERCIER;LAVAL;1;0
A. MERIEL;LAVAL;2;1
F. NIVARD;LAVAL;29;3
N. PERRON;LAVAL;4;0
R. HUE;LAVAL;7;0
CH. HENRY;LAVAL;1;0
P.A. DELACOUR;LAVAL;2;0
K. DAVID;LAVAL;2;0
E. DOUANEAU;LAVAL;3;0
R. CONGARD;LAVAL;6;1
R. LAMY;LAVAL;8;0
CH.A. MALLET;LAVAL;1;0
F. HERIVAUX;LAVAL;2;0
D. BONNE;LAVAL;16;1
A.A. CHAVATTE;LAVAL;7;0
TH. BEAUCHENE;LAVAL;1;0
G.A. POU POU;LAVAL;3;0
G. BOUTEILLER;LAVAL;1;0
P. MONTHULE;LAVAL;3;0
ANDREA ROUSSEL;LAVAL;4;0
MLLE CLARA DERSOIR;LAVAL;1;0
S. GOUGEON;LAVAL;3;0
TH. VIAUD;LAVAL;1;0
ET. DELAUNAY;LAVAL;2;0
A. HEMON;LAVAL;1;0
G. D'HAENENS;LAVAL;3;1
V.M. MORIN;LAVAL;1;0
J. MAILLARD;LAVAL;4;0
M. VAUDOIT;LAVAL;5;0
L. LEGRAND;LAVAL;1;0
M. BEAUVAIS;LAVAL;6;0
MME LILAS VIEL;LAVAL;1;0
MLLE M. DE MEYER;LAVAL;4;0
E. CONIGLIO;LAVAL;1;0
M. MAIGNAN;LAVAL;2;0
JEROME DAVID;LAVAL;2;0
A. HENARD;LAVAL;1;0
F.P. BOSSUET;VINCENNES;6;0
J.ET. LE BEC;VINCENNES;1;0
MARTIAL VIEL;VINCENNES;3;0
G. MONTHULE;VINCENNES;1;0
A.G. MAILLARD;LA CEPIERE;3;0
E. BRIAND;LA CEPIERE;6;0
MME L. REGNIER;LA CEPIERE;1;0
G. D'HAENENS;LA CEPIERE;1;0
CH. MARTENS;LA CEPIERE;12;6
F. DESMIGNEUX;LA CEPIERE;1;0
MLLE M. TRIHOLLET;VINCENNES;3;0
J. ROUX;VINCENNES;4;0
MME AUDREY MENAGER;VINCENNES;3;0
MLLE L. LIZEE;VINCENNES;1;0
E. VAN DEN BERGH;VINCENNES;1;0
DENIS AVENEL;VINCENNES;1;0
T. PERRIER;VINCENNES;3;0
E. DUPERCHE;VINCENNES;1;0
CH. BOISNARD;VINCENNES;1;0
J.ET. ABRIVARD;VINCENNES;2;0
S. BAZIRE;CAGNES/MER;2;0
TH. CHALON;CAGNES/MER;1;0
J.P. GAUVIN;CAGNES/MER;5;0
B. MICHARDIERE;CAGNES/MER;1;0
O. SCICLUNA;CAGNES/MER;1;0
F. YVANES;CAGNES/MER;3;0
W. SOUCHET;NANTES;1;0
S. DESMARRES;NANTES;1;0
T. CALO;NANTES;2;0
L. JUBLOT;NANTES;2;0
MLLE C. VEYRET;NANTES;1;0
A. LENOIR;NANTES;1;0
ADRIEN BLANDIN;NANTES;2;0
D. LEPIGEON;NANTES;1;0
B. CARPENTIER;NANTES;2;0
S. HARDY;NANTES;3;1
ET. DELAUNAY;NANTES;2;0
MLLE O. TOUILLET;NANTES;1;0
B. BEAUCAMP;NANTES;2;0
CL. GUILLON;NANTES;1;0
CHRISTOPHER CORBINEAU;NANTES;2;1
G. CHAVATTE;NANTES;2;0
A. HENARD;NANTES;1;0
J. DEBOST;NANTES;1;0
A. REBECHE;AMIENS;11;0
M. VERVA;AMIENS;35;2
CEDRIC TERRY;AMIENS;8;1
JULIEN RAFFESTIN;AMIENS;2;0
G. GELORMINI;AMIENS;8;1
J. KOUBICHE;AMIENS;20;2
J.F. SENET;AMIENS;11;1
P.Y. VERVA;AMIENS;43;6
R. LAMY;AMIENS;33;4
MATHEO DUVAL;AMIENS;1;0
J.M. MARIE;AMIENS;2;0
PH. MASSCHAELE;AMIENS;12;1
ET. LEFRANC;AMIENS;4;0
CH.J. BIGEON;AMIENS;8;0
L. LEGRAND;AMIENS;1;0
J.CH. PITON;AMIENS;23;1
J.B. LELIEVRE;AMIENS;2;0
K. DEPUYDT;AMIENS;11;2
LAURENT VERVA;AMIENS;11;0
B. HARDY;AMIENS;4;0
J. VANMEERBECK;AMIENS;10;0
E. HERBEAU;AMIENS;7;0
F. DESMIGNEUX;AMIENS;9;1
V. COLIGNY;AMIENS;1;0
A.G. MAILLARD;AMIENS;6;0
P.CH. JEAN;AMIENS;5;0
K. ACHARD;AMIENS;3;0
A. BESCHER;AMIENS;1;0
MME H. HUYGENS;AMIENS;2;0
G. LESSIEU;AMIENS;3;0
J.M. CHAINEUX;AMIENS;4;0
G. SUCAET;AMIENS;2;0
CH. CHALON;AMIENS;1;0
TH. DROMIGNY;AMIENS;14;0
P.A. DELACOUR;AMIENS;7;0
A. TRINQUART;AMIENS;1;0
ANTHONY DOLLION;AMIENS;7;1
M. LEGROS;AMIENS;7;1
G. SIMON;AMIENS;1;0
T. VERDONCK;AMIENS;2;0
G. DEMOULIN;AMIENS;7;0
E. GARNIER;AMIENS;4;0
H. LECOQ;AMIENS;1;0
F. CHARTIER;AMIENS;4;0
F. BRIDAULT;AMIENS;1;0
N. JAULNEAU;AMIENS;1;0
MME B. GUENET;AMIENS;1;0
B. SCHWARTZ;AMIENS;3;0
MLLE L. LIZEE;AMIENS;1;0
JEAN MAXIME LESNE;AMIENS;8;2
A. DAULIER;AMIENS;1;0
MLLE MAUD GOETZ;AMIENS;1;0
S. DEWULF;AMIENS;1;0
B. MADELINE;AMIENS;1;0
M. BRIDAULT;AMIENS;6;0
MME C. CHAZAL;AMIENS;6;0
S. LABOUTIQUE;AMIENS;3;2
FABRICE CHARTIER;AMIENS;3;0
MLLE F. AUBER;AMIENS;2;0
A. NAVEAU;VINCENNES;1;0
A. GARANDEAU;VINCENNES;2;0
J. UNTERSTEINER;VINCENNES;1;0
T. OUVRIE;LE BOUSCAT;3;0
S. LALOUM;LE BOUSCAT;2;0
J.J. DELHAL;LE BOUSCAT;2;0
R. WESTERINK;LE BOUSCAT;3;0
E. CONIGLIO;LE BOUSCAT;1;0
PH. BOUTIN;LE BOUSCAT;2;0
MME S. DECAUDIN;LE BOUSCAT;1;0
M. CINIER;LE BOUSCAT;2;0
P.E. COLLARD;LE BOUSCAT;2;0
G. LEMAITRE;LE BOUSCAT;2;1
F. HERIVAUX;LE BOUSCAT;1;0
P. BOUGON BOUGEARD;LE BOUSCAT;2;0
H. BAUMER;LE BOUSCAT;3;0
M. GOETZ;LE BOUSCAT;2;0
A. LEVEILLE;LE BOUSCAT;2;0
A. GRONDIN;LE BOUSCAT;2;0
M. CHAVATTE;LE BOUSCAT;3;0
J.ET. ABRIVARD;LE BOUSCAT;3;1
G. JOUVE;LE BOUSCAT;1;0
J. CHAVATTE;LE BOUSCAT;3;0
MME L. CHARRIAUD;LE BOUSCAT;1;0
Y.R. LE MEE;LE BOUSCAT;4;0
M. SAMSON;LE BOUSCAT;1;1
S. GOUGEON;LE BOUSCAT;2;0
MME J. CHARBONNEAU;LE BOUSCAT;1;0
S. TRIBOURDEAU;LE BOUSCAT;1;0
G. COGNE;LE BOUSCAT;1;0
V. MARC-MARTIN;LE BOUSCAT;1;0
E. PEREKRESTOFF;LE BOUSCAT;1;0
C. LANGLOIS;LE BOUSCAT;1;0
E. DUCHIER;LE BOUSCAT;1;0
S. BIZEUL;LE BOUSCAT;1;1
D. BOUYNE;LE BOUSCAT;2;0
Q. FAIVRE;LE BOUSCAT;1;0
J.N. PECCOT;LE BOUSCAT;1;0
G. COCARD;LE BOUSCAT;1;0
MLLE M. PAILLARD;LE BOUSCAT;1;0
D. JAMARD;PARAY LE MONIAL;1;0
MARTIAL GAUVIN;PARAY LE MONIAL;1;0
J.P. PRALUS;PARAY LE MONIAL;1;0
A. TINTILLIER;PARAY LE MONIAL;2;1
F.J. PELTIER;PARAY LE MONIAL;3;0
B. THIENNE;PARAY LE MONIAL;1;0
L. BEILEARD;PARAY LE MONIAL;1;0
L. DURANTET;PARAY LE MONIAL;1;0
B. THOMAS;PARAY LE MONIAL;4;0
B. RUET;PARAY LE MONIAL;4;0
TH. LEMOINE;PARAY LE MONIAL;1;0
LILIAN BERTIN;PARAY LE MONIAL;1;0
M. PANTIC;PARAY LE MONIAL;1;1
C. TRIBOLET;PARAY LE MONIAL;1;0
ALEXANDRE BODIN;PARAY LE MONIAL;1;0
ALEXIS LERENARD;PARAY LE MONIAL;2;0
M. PEAN;GRAIGNES;2;1
J.ET. LE BEC;GRAIGNES;2;0
J. VILAULT;GRAIGNES;2;0
J. CERISIER;GRAIGNES;6;0
K. DAVID;GRAIGNES;1;0
A. THOMAS;GRAIGNES;1;0
A. VOISIN;GRAIGNES;1;0
C. BEDEL;GRAIGNES;2;0
R. SEVESTRE;GRAIGNES;4;0
S. DESNOS;GRAIGNES;4;1
MLLE CH. DELAMARE;GRAIGNES;3;0
TH. CONSTANS;GRAIGNES;4;0
L.A. MARTIN;GRAIGNES;5;0
MME YONA HENRY;GRAIGNES;1;0
G. GILARD;GRAIGNES;1;0
S. GOHIER;GRAIGNES;2;0
A. MALLET;GRAIGNES;3;2
A. RINGLER;GRAIGNES;1;0
L. LEGRAND;GRAIGNES;11;0
A. LEFAUCHEUX;GRAIGNES;4;0
MME L. LEDUC GUILLAUME;GRAIGNES;1;0
J. FERRON;GRAIGNES;1;0
L. TRAVERT;GRAIGNES;5;0
A. JANNIER;GRAIGNES;4;0
A. GALLARD;GRAIGNES;2;0
V.M. MORIN;GRAIGNES;3;0
L. PESCHET;GRAIGNES;1;0
CH. PETREMENT;GRAIGNES;8;0
E. DE JESUS;GRAIGNES;11;1
A. POPOT;GRAIGNES;9;0
D. BROHIER;GRAIGNES;1;0
F. TABESSE;GRAIGNES;12;0
MLLE NOEMIE HARDY;GRAIGNES;5;0
J.PH. GUIBOUT;GRAIGNES;5;0
E. MAHE;GRAIGNES;2;1
G. CARDINE;GRAIGNES;3;0
TH. ADELAIDE;GRAIGNES;1;0
A. DIBATISTA;GRAIGNES;1;0
R. CAREL;GRAIGNES;1;0
F. CHAPDELAINE;GRAIGNES;3;0
M. COLLIN;GRAIGNES;1;0
F. WASSELIN;GRAIGNES;1;0
F. TOUCHARD;GRAIGNES;2;1
A. LAIR;GRAIGNES;3;0
T. PERRIER;GRAIGNES;1;1
MLLE M. TRIHOLLET;GRAIGNES;2;0
MAXIME HAMELIN;GRAIGNES;1;0
J.M. JARRY;GRAIGNES;1;0
ARNAUD GIRARD;GRAIGNES;2;0
J. PIEPLU;GRAIGNES;1;0
P. TROIA;GRAIGNES;1;0
J. BESCHER;GRAIGNES;2;0
S. GAZON;GRAIGNES;1;0
P. CASTEL;GRAIGNES;4;0
TH. VIAUD;GRAIGNES;1;0
M. HERRAULT;MAURE DE BRETAGNE;3;0
J.P. CADEAU;MAURE DE BRETAGNE;1;0
T. BEAUVAIS;MAURE DE BRETAGNE;4;0
MLLE CL. BEILEARD;MAURE DE BRETAGNE;1;0
M. MOURO;MAURE DE BRETAGNE;2;0
V. COLIGNY;MAURE DE BRETAGNE;1;0
E. LELIEVRE;MAURE DE BRETAGNE;3;0
J.M. BREHARD;MAURE DE BRETAGNE;1;0
R. LAMY;MAURE DE BRETAGNE;3;1
MLLE M. DE MEYER;MAURE DE BRETAGNE;2;0
ALEXANDRE CHEVRIER;MAURE DE BRETAGNE;1;0
MAXENCE LECOQ;MAURE DE BRETAGNE;1;0
G. DONIO;MAURE DE BRETAGNE;2;0
D. DAUVERNE;MAURE DE BRETAGNE;1;0
P. BUHIGNE;MAURE DE BRETAGNE;1;0
R. PALIERNE;MAURE DE BRETAGNE;2;0
B. CARPENTIER;MAURE DE BRETAGNE;3;0
F. BOUDET;MAURE DE BRETAGNE;1;0
R. CORBIN;MAURE DE BRETAGNE;3;0
CH. CUILLER;MAURE DE BRETAGNE;1;0
J. BLAVETTE;MAURE DE BRETAGNE;3;2
T. CALO;MAURE DE BRETAGNE;1;0
J.M. LE CERF;MAURE DE BRETAGNE;1;0
A.A. DAVID;MAURE DE BRETAGNE;2;0
H. MONTHULE;MAURE DE BRETAGNE;1;0
J. TRAVERS;MAURE DE BRETAGNE;4;0
E. PELTIER;MAURE DE BRETAGNE;1;1
MME E. SOURICE;MAURE DE BRETAGNE;1;0
J. BEAUTRAIS;MAURE DE BRETAGNE;1;0
TH. REBUFFE;MAURE DE BRETAGNE;1;0
M. PRAT;MAURE DE BRETAGNE;1;0
MLLE A. RENAULT;MAURE DE BRETAGNE;1;0
C. CHESNE;MAURE DE BRETAGNE;2;0
MME K. GUILLON;MAURE DE BRETAGNE;1;1
ANDRE X. ROBIN;MAURE DE BRETAGNE;1;0
MLLE A. BEAUCAMP;MAURE DE BRETAGNE;1;0
J.PH. DERRIAN;MAURE DE BRETAGNE;1;0
J. CANDON;MAURE DE BRETAGNE;1;0
MME N. DESCAMPS;MAURE DE BRETAGNE;1;0
P.Y. VERVA;LE CROISE LAROCHE;45;6
G. LANNOO;LE CROISE LAROCHE;8;2
F. OUVRIE;LE CROISE LAROCHE;47;3
E. RAFFIN;LE CROISE LAROCHE;9;1
A. COLLETTE;LE CROISE LAROCHE;13;2
TH. DROMIGNY;LE CROISE LAROCHE;26;1
G. GELORMINI;LE CROISE LAROCHE;28;1
CH.J. BIGEON;LE CROISE LAROCHE;7;0
F. GIARD;LE CROISE LAROCHE;2;0
L. CANNAERT;LE CROISE LAROCHE;5;0
C. DEFFAUX;LE CROISE LAROCHE;2;0
J. VANMEERBECK;LE CROISE LAROCHE;11;1
ALEXANDRE BODIN;LE CROISE LAROCHE;4;0
A. LAURENT;LE CROISE LAROCHE;8;1
J.CH. PITON;LE CROISE LAROCHE;11;0
F. NEIRINCK;LE CROISE LAROCHE;1;1
R. HEMERY;LE CROISE LAROCHE;15;0
B.J. CREBAS;LE CROISE LAROCHE;3;0
TH.E. LONCKE;LE CROISE LAROCHE;6;1
I. DIERICKX;LE CROISE LAROCHE;4;0
J. VAN RIJN;LE CROISE LAROCHE;2;0
R. KUIPER;LE CROISE LAROCHE;2;0
B. ROUER;LE CROISE LAROCHE;2;0
M. VERVA;LE CROISE LAROCHE;36;2
L. CUEFF;LE CROISE LAROCHE;5;0
J.M. CHAINEUX;LE CROISE LAROCHE;13;1
J. KOUBICHE;LE CROISE LAROCHE;37;5
ANDREA ROUSSEL;LE CROISE LAROCHE;5;1
J. TRAVERS;LE CROISE LAROCHE;4;0
B. PITON;LE CROISE LAROCHE;2;0
JULIEN RAFFESTIN;LE CROISE LAROCHE;13;5
G. SUCAET;LE CROISE LAROCHE;9;3
K. VANDERSCHELDEN;LE CROISE LAROCHE;1;0
M. GRUMETZ;LE CROISE LAROCHE;2;0
G. PORZIO;LE CROISE LAROCHE;1;0
F. GUERINEAU;LE CROISE LAROCHE;6;1
A. PRAT;LE CROISE LAROCHE;6;2
E. ALLARD;LE CROISE LAROCHE;2;1
J.P. MAILLARD;MAUQUENCHY;3;0
B. ROCHARD;MAUQUENCHY;8;4
M. MOTTIER;MAUQUENCHY;7;1
E. RAFFIN;MAUQUENCHY;4;1
A. COLLETTE;MAUQUENCHY;7;0
S. BAUDE;MAUQUENCHY;4;1
G. VERVA;MAUQUENCHY;1;0
N. RAIMBEAUX;MAUQUENCHY;1;0
B. GONTIER;MAUQUENCHY;1;0
A.A. CHAVATTE;MAUQUENCHY;2;1
P.A. DELACOUR;MAUQUENCHY;3;0
MLLE CL. LELIEVRE;MAUQUENCHY;2;0
P. BELLOCHE;MAUQUENCHY;2;0
G. PORZIO;MAUQUENCHY;2;0
B. GOGLIN;MAUQUENCHY;1;0
F. TOUCHARD;MAUQUENCHY;1;0
TH. ADELAIDE;MAUQUENCHY;2;0
B. LEBEY;MAUQUENCHY;1;0
MLLE E. DESMIGNEUX;VINCENNES;1;1
J. DENISOT;VINCENNES;1;0
F. HERIVAUX;VINCENNES;3;0
G. DESPREZ;VINCENNES;1;0
J. MAILLARD;VINCENNES;2;1
M. BEAUVAIS;VINCENNES;1;0
JULIEN GRISON;VINCENNES;1;0
P. VERVA;VINCENNES;2;0
E. CIVE;VINCENNES;2;0
A. FAVRAY;VINCENNES;1;0
FL. BUTTIER;VINCENNES;1;0
TH.E. LONCKE;VINCENNES;1;0
V. HEBERT;VINCENNES;2;0
H. LECOQ;VINCENNES;1;0
A. BOURGOIN-TIMBERT;CAGNES/MER;1;1
Q. SEGUIN;CAGNES/MER;1;0
MME R. HAGHIGHAT;CAGNES/MER;1;0
S. LALOUM;CAGNES/MER;11;0
A. GENDROT;CAGNES/MER;2;1
MLLE J. OHANESSIAN;CAGNES/MER;2;0
PH. GAILLARD;CAGNES/MER;2;1
J. CORBANIE;CAGNES/MER;5;0
P. PELLEROT;LAVAL;1;0
A. HUBERT;LAVAL;4;0
H. MARIE;LAVAL;4;0
MARTIAL VIEL;LAVAL;9;1
CL. FRECELLE;LAVAL;8;0
A. LEFAUCHEUX;LAVAL;2;0
G. FAVRIS;LAVAL;3;0
F. GENCE;LAVAL;3;0
C. CHENU;LAVAL;3;0
M. CHOLLOUX;LAVAL;1;0
M. MOTTIER;LAVAL;24;4
J.W. HALLAIS;LAVAL;1;0
S. POILANE;LAVAL;2;0
PH. DAUGEARD;LAVAL;3;0
C. PETITDIDIER;LAVAL;1;0
L.M. DAVID;LAVAL;3;0
S. HOUYVET;LAVAL;2;0
E. LELIEVRE;LAVAL;1;0
G. GILLOT;LAVAL;1;0
P.EDOUARD MARY;LAVAL;3;0
ARNAUD DESMOTTES;LAVAL;8;1
F. POISSON;LAVAL;2;0
B. CHEVILLARD;LAVAL;2;0
MLLE A. HALLAIS;LAVAL;2;1
F. CHAPDELAINE;LAVAL;2;0
J.L. HOCDE;LAVAL;3;0
S. RAFFEGEAU;LAVAL;1;0
JULIEN RENAULT;LAVAL;3;0
MME B. GUENET;LAVAL;1;0
MME AUDREY MENAGER;LAVAL;2;0
A. MOURAUD;LAVAL;2;0
B. LEBEY;LAVAL;1;0
J. WEISS;LAVAL;1;0
D. GRIMAULT;LAVAL;4;1
G.Y. POIRIER;LAVAL;1;0
M. PRAT;LAVAL;4;1
TH. REBUFFE;LAVAL;2;0
M. GOETZ;LYON LA SOIE;3;0
J.CH. PITON;LYON LA SOIE;5;0
K. DEVIENNE;LYON LA SOIE;2;1
L. JUBLOT;LYON LA SOIE;2;0
J.CH. GANDRE;LYON LA SOIE;1;0
Y. LAVIGNE;LYON LA SOIE;1;0
Q. SEGUIN;LYON LA SOIE;1;0
MLLE M. DE MEYER;VINCENNES;1;0
A. GUARATO;VINCENNES;2;0
TH. GOUJON;VINCENNES;1;0
K. DAVID;VINCENNES;1;0
PIERRE ABRIVARD;VINCENNES;1;0
R. PROST-BOUCLE;VINCENNES;2;0
S. MOMBOURG;VINCENNES;1;0
A. BESCHER;VINCENNES;1;0
W. PLAIRE;VINCENNES;1;0
N. JAULNEAU;VINCENNES;1;0
V. ROYER;VINCENNES;1;0
R. WESTERINK;VINCENNES;2;0
O. POTIER;CORDEMAIS;3;0
E.G. BLOT;CORDEMAIS;2;0
A.A. CHAVATTE;CORDEMAIS;7;2
T. BEAUVAIS;CORDEMAIS;2;0
N. BRIDAULT;CORDEMAIS;1;0
GUILLAUME MARTIN;CORDEMAIS;9;1
J.Y. RICART;CORDEMAIS;1;0
TH. RAFFIN;CORDEMAIS;4;0
J. BLAVETTE;CORDEMAIS;2;0
D. DAVOUST;CORDEMAIS;1;0
LOIC GROUSSARD;CORDEMAIS;2;0
B.R. PLAIRE;CORDEMAIS;1;0
G. PRAT;CORDEMAIS;4;0
R. JOLY;CORDEMAIS;1;0
MLLE M. BLOT;CORDEMAIS;2;0
CL. FRECELLE;CORDEMAIS;4;0
L. GELORMINI;CORDEMAIS;1;0
G. LENAIN;CORDEMAIS;1;0
S. DESMARRES;CORDEMAIS;2;0
F. DESMIGNEUX;CORDEMAIS;2;0
TH. DROMIGNY;CORDEMAIS;2;0
A. ABRIVARD;CORDEMAIS;3;0
L. JUBLOT;CORDEMAIS;1;0
MLLE MATHILDE LEPAGE;CORDEMAIS;1;0
S. ERNAULT;CORDEMAIS;3;2
ANTHONY DOLLION;CORDEMAIS;1;0
MME E. LE BELLER;CORDEMAIS;1;0
D. DELAROCHE;CORDEMAIS;1;0
N. CHEREAU;CORDEMAIS;2;0
B. GROULT;CORDEMAIS;1;0
J. DUBREIL;CORDEMAIS;2;0
AURELIEN DESMARRES;CORDEMAIS;1;0
PH. JULIEN;CORDEMAIS;1;0
J.ET. ABRIVARD;CORDEMAIS;3;0
S. LALOUM;LA CEPIERE;6;2
N. VIMOND;LA CEPIERE;7;0
MME L. THORAVAL;LA CEPIERE;1;0
M. GOETZ;LA CEPIERE;2;0
L. AUDEBERT;LA CEPIERE;6;0
CH. FEYTE;LA CEPIERE;6;0
P.A. DELACOUR;LA CEPIERE;2;1
Q. FLEURY;LA CEPIERE;1;0
S. BAZIRE;LA CEPIERE;3;0
C. PISCUOGLIO;CAGNES/MER;3;0
MLLE V. GRELIN;CAGNES/MER;1;1
MLLE M. D'ESPARBES;CAGNES/MER;2;0
J. VASSALLO;CAGNES/MER;1;0
F. DESMIGNEUX;VIRE;3;1
F. NIVARD;VIRE;14;0
Y. LEBOURGEOIS;VIRE;13;2
CL. DUVALDESTIN;VIRE;2;0
F. LECANU;VIRE;8;0
A. GENDROT;VIRE;4;0
A. CHERADAME;VIRE;1;0
L.M. DAVID;VIRE;5;1
S. HARDY;VIRE;8;0
E. LETOUZE;VIRE;1;0
M. BEZIER;VIRE;3;0
P.L. ROUSSEAU;VIRE;1;0
MME CL. DESMONTILS;VIRE;2;0
C. MEGISSIER;VIRE;3;0
L.G. RICHARD;VIRE;1;0
A. MARION;VIRE;1;0
S.E. PASQUIER;VIRE;1;0
G. DELACOUR;VIRE;2;0
F. PRIOUL;VIRE;1;0
P. BOUGON BOUGEARD;VIRE;2;0
M. BANSARD;VIRE;1;0
R. WESTERINK;AGEN LA GARENNE;5;0
S. POILANE;AGEN LA GARENNE;3;0
MME LANA HENRY;AGEN LA GARENNE;13;1
S. LALOUM;AGEN LA GARENNE;13;1
CH. BOISNARD;AGEN LA GARENNE;3;0
S. TRIBOURDEAU;AGEN LA GARENNE;1;0
H. SIONNEAU;AGEN LA GARENNE;2;0
MME E. LEPAGE;AGEN LA GARENNE;2;0
MLLE L. LIZEE;AGEN LA GARENNE;2;0
R. PELLIER;AGEN LA GARENNE;1;0
N. MATHIAS;AGEN LA GARENNE;1;0
A. LEVEAU;AGEN LA GARENNE;1;0
J.CH. FERON;CAVAILLON;11;1
D. BEKAERT;CAVAILLON;12;2
K. THONNERIEUX;CAVAILLON;4;0
Y.A. BRIAND;CAVAILLON;8;0
G. TOURON;CAVAILLON;2;0
K. DEVIENNE;CAVAILLON;6;0
L. BRECHAT;CAVAILLON;1;0
TH. LEMOINE;CAVAILLON;1;0
A. TOMASELLI;CAVAILLON;2;0
D. BROUWER;CAVAILLON;3;0
J. GUELPA;CAVAILLON;5;0
S. CINGLAND;CAVAILLON;8;0
N. PACHA;CAVAILLON;2;0
E. BRIAND;CAVAILLON;6;1
LAURENT GOUT;CAVAILLON;3;0
P. REPICHET;CAVAILLON;3;0
J. UROZ;CAVAILLON;2;0
J. CORBANIE;CAVAILLON;1;0
B. GOETZ;CAVAILLON;1;0
F. TUGEND;CAVAILLON;7;0
J. ROULLAND;CAVAILLON;1;0
H. CHAUVE-LAFFAY;CAVAILLON;1;1
L. LIGOT;CAVAILLON;3;1
MLLE E. ROUSSEAU;CAVAILLON;1;0
MLLE K. FRESNEAU;CAVAILLON;2;1
A. MAZZU;CAVAILLON;1;0
MLLE G. AMBROGIO;CAVAILLON;4;1
J.PH. GRIMALDI;CAVAILLON;2;0
A. SLIMANE;CAVAILLON;1;0
PH. JEANNERET;CAVAILLON;1;0
MME A. ROMAN;CAVAILLON;4;0
Y. HAGEGE;CAVAILLON;1;0
J. HAMELET;CAVAILLON;1;0
MME M. ROUBAUD;CAVAILLON;2;0
H. LAKHRISSI;CAVAILLON;3;1
CH. BACHE;CAVAILLON;2;0
L. VERRIERE;CHATILLON/CHALARONNE;4;0
ALEXIS LERENARD;CHATILLON/CHALARONNE;3;0
F. GAUVIN;CHATILLON/CHALARONNE;1;0
ST. CORBIN;CHATILLON/CHALARONNE;1;0
O. MERLE;CHATILLON/CHALARONNE;3;0
J.P. GAUVIN;CHATILLON/CHALARONNE;2;0
Q. CHAUVE-LAFFAY;CHATILLON/CHALARONNE;5;0
G. BOUYER;CHATILLON/CHALARONNE;1;0
P. CALLIER;CHATILLON/CHALARONNE;4;0
C. TRIBOLET;CHATILLON/CHALARONNE;3;0
J. CUOQ;CHATILLON/CHALARONNE;1;0
L. LAMAZIERE;CHATILLON/CHALARONNE;3;0
B. RUET;CHATILLON/CHALARONNE;5;0
MME S. BUSSET;CHATILLON/CHALARONNE;1;0
B. CHAUVE-LAFFAY;CHATILLON/CHALARONNE;4;2
F. OUVRIE;REIMS;35;2
A. MERIEL;REIMS;4;1
TH. CONSTANS;REIMS;2;0
M. ABRIVARD;REIMS;8;1
D. BONNE;REIMS;14;3
M. LEGROS;REIMS;6;0
F. SENET;REIMS;4;1
TH. DROMIGNY;REIMS;15;1
F. ROCHETTE;REIMS;1;0
JULIEN RAFFESTIN;REIMS;5;0
MLLE THAIS PELTIER;REIMS;2;0
M.J. BARCELO BISQUERRA;REIMS;6;1
L. CHUPIN;REIMS;2;0
R. HOJKA;REIMS;2;0
G. LEMAITRE;REIMS;3;0
D. THIEFAINE;REIMS;3;0
M. GARCON;REIMS;3;0
C. GILLET;REIMS;1;0
G. GILARD;REIMS;3;1
L. CUEFF;REIMS;10;0
N. PIERQUIN;REIMS;2;0
MME A. BOURGOIN;REIMS;8;1
K. ACHARD;REIMS;4;0
GUILLAUME MARTIN;REIMS;2;0
CL. FRECELLE;REIMS;1;0
K. DEPUYDT;REIMS;15;2
J. TRAVERS;REIMS;9;0
L. STAEL;REIMS;3;1
J. MELIS MACIAS;REIMS;2;0
LAURENT VERVA;REIMS;7;0
DAVID LEFEVRE;REIMS;6;0
M. VERVA;REIMS;28;1
