nom;partants;victoires
J.PH. RAFFEGEAU;114;5
J.PH. MONCLIN;141;29
MME S. RAIMOND;50;14
J. LE MER;66;2
A. GARANDEAU;55;3
CHRISTOPHE JARIEL;10;2
J.W. HALLAIS;38;3
J.G. VAN EECKHAUTE;99;8
G.R. HUGUET;183;11
ANTOINE LHERETE;50;7
J.ET. THUET;31;5
TH. LAMARE;47;5
H.R. STROMBERG;6;0
L. FERRO;24;2
P. LEVESQUE;25;2
L. BAUDRON;131;16
F. SENET;25;2
JOACHIM ELFVING;3;0
D. LOCQUENEUX;143;12
P. HAGOORT;6;0
J.L. DERSOIR;101;3
DANIEL WAJERSTEN;14;5
E. MONTAGNA;26;0
D.P. TESSELAAR;8;0
A. ROZZONI;23;0
F. BONNEFOY;28;4
J.P. GAUVIN;84;10
PH. GAILLARD;44;5
J. CUOQ;100;7
A. BONNEFOY;101;7
MICKAEL CORMY;273;22
J. HUGUET;67;3
L. BROUST;30;1
M. DUJMIC;44;2
G. VIDAL;28;1
B. THOMAS;84;0
P. CALLIER;166;5
A. GAUDIN;21;0
J.L. VERRIERE;28;1
TH. BUSSET;53;3
G. ALAINE;32;0
J.P. PRALUS;7;0
L. GARCIA;79;4
D. MARASCO;19;0
P. BLANC;3;0
G. LAURENT;43;5
M. BUSSET;47;1
D. JAMARD;15;0
M. DAOUGABEL;52;0
L. DURANTET;45;6
G. NAKACHE;15;1
H. CHAUVE-LAFFAY;131;17
G. RAFFESTIN;61;3
L. LERENARD;226;13
M. BONNEFOY;28;1
E. BOUYER;57;2
P.A. DELACOUR;22;0
C. PILFERT;3;0
ET. LEFRANC;41;3
L. LAUDREN;47;7
GUILLAUME JOUVE;71;4
J. CONDETTE;38;4
JOEL HALLAIS;59;8
J. JAMAULT;22;1
J. BAUDRON;40;5
J. BORDAS;39;3
K. CHAMPENOIS;40;7
P.Y. LEMOINE;8;2
P. CASTEL;29;1
A. PACARY;45;6
P.A. RYNWALT-BOULARD;21;3
S. POILANE;68;2
A. LENOIR;16;0
M. GILARD;33;0
D. DODIN;14;1
J. GIROUARD;10;0
E. BEAUVAIS;22;1
E. BEUDARD;13;2
D. CHERADAME;25;3
J.M. MAILLARD;18;1
MLLE V.M. GOETZ;39;3
TH. COULON;13;0
V. MAILLARD;20;0
ST. MEUNIER;99;3
P. GODEY;58;1
N. LEMETAYER;60;7
R.CH. LARUE;61;4
G. TADDEI;14;1
A. DE VAUGIRAUD;32;10
MME A.F. DONATI MARCILLAC;38;0
J. ENGWERDA;15;3
G. LEFROU;10;1
M. IZZO;82;5
CH. CLIN;52;4
R. CONGARD;8;1
P. DESPREZ;21;1
J. WESTHOLM;49;12
F. WALLIN;11;1
PH. ALLAIRE;124;13
S.G. DUPONT;75;16
G. CURENS;80;3
MME BARBARA GUENET;13;0
J.P. MARMION;110;29
CH. MARTENS;26;2
S. MARMION;42;5
CH. DE GROOTE;43;3
MME M. DONABEDIAN;5;1
S. LALOUM;199;11
F. LAMARE;26;0
J. VANDOORNE;4;0
L. FRESNEAU;57;4
CH. BREHARD;6;0
J. CHAVATTE;72;0
R. DEBUE;45;1
B. OLICARD;41;2
N. MATHIAS;3;0
Y.R. LE MEE;31;0
P. GAUTIER;9;0
S. BAZIRE;16;1
E. PEREKRESTOFF;7;0
G. MARTY;67;1
PIERRE GERAY;22;0
J.P. LAGENEBRE;5;0
P.J. CORDEAU;37;2
Q. FLEURY;9;0
D.G. CHAVATTE;27;0
JULIEN CHAUVIN;44;0
J.M. LOURTET;40;1
C. BATY;14;3
S. ZAMPARO;5;0
Y. HAMON;21;2
F. CLOZIER;22;0
J. LEBOUTEILLER;28;5
JULIEN RAFFESTIN;115;17
F. QUITTET;17;1
THÉO CHERADAME;17;0
MLLE OCÉANE HERBINIERE;11;0
S. HOUYVET;43;1
A. THOMAS;83;10
B. BLACHET;23;0
ALAIN ROUSSEL;32;1
MME EMELINE DESMIGNEUX;30;3
RENAUD JULIEN;52;5
H. MARIE;41;1
PH. MARIE;29;1
M. BEZIER;71;3
VITALE CIOTOLA;69;8
J.M. MARIE;50;1
P. FERCHAUD;24;4
G. MARIN;18;1
N. CATHERINE;45;13
P. MONTHULE;20;0
MLLE A. MICHEL;33;3
J. POUTREL;13;1
B. ANGOT;38;1
H. SIONNEAU;37;5
J.L. BIGEON;53;6
D. LEFAUCHEUX;30;1
CH. CHALON;62;4
G. SIMON;13;0
L. VAUBERT;22;4
S. PRIOUL;43;5
L. JUBLOT;40;0
TANGUY DEVOUASSOUX;32;2
R. BRETON;21;3
X. REVEILLON;9;0
MME M. HERLEIKSPLASS;15;2
J.M. GUILLOTTE;60;3
MLLE CH. LE COZ;22;1
A.A. DAVID;9;1
E. MARTIN;5;0
Y.J. LE BEZVOET;19;0
D. JAVELLE;17;0
D. KUMPEN;51;6
J. GOSSELIN;20;1
B. VALLETTE;31;0
M. HELBERT;37;4
E. LAMY;34;1
ST. DESHAYES;19;1
P. HALLAIS;1;0
M. MONACO;50;1
P. JANNIER;15;0
C. MEGISSIER;68;8
B. CARPENTIER;58;3
MLLE M. LE BOURHIS;10;0
V. RAIMBAULT;35;1
O. POTIER;39;2
