nom;nb_courses;nb_victoires;gains_total;somme_distances;derniere_date
HAIDA SAUTONNE;8;0;0;21250.0;2026-07-09
ASTRONASCENTE ZAC;2;0;0;5625.0;2026-02-28
JACOVIA MADRIK;8;1;0;20625.0;2026-04-16
JOY FOR EVER;5;2;0;13075.0;2026-07-08
JAIKA DES FANES;8;0;0;21175.0;2026-07-17
KIRA BO FACE;8;2;0;19400.0;2026-04-24
KATIA DHELPA;10;2;0;26400.0;2026-07-08
KLASSE DE BRUZEAU;7;1;0;18450.0;2026-07-15
INES D'ATOUT;3;0;0;7775.0;2026-02-17
KANGALA DE FAEL;1;0;0;2925.0;2026-01-08
JOUVENCE SECRETE;3;0;0;8000.0;2026-02-10
JOLIE SMART;9;1;0;23725.0;2026-07-04
JELGA DU VIVIER;5;1;0;13850.0;2026-03-07
JEALOUS GIRL;13;0;0;32225.0;2026-07-10
JOLYSTAR GEDE;3;0;0;8000.0;2026-02-10
ISEA DU QUENNE;3;0;0;8075.0;2026-06-01
L'ANGE AIMEF;4;0;0;10525.0;2026-05-18
LINO GUILLERVILLE;4;1;0;9500.0;2026-03-04
LOOK HAPPY;2;0;0;4350.0;2026-07-13
LOVE YOU PHYT'S;5;3;0;13550.0;2026-06-27
L'HEBUS;5;0;0;12675.0;2026-06-24
LEADER DES APRES;8;0;0;21650.0;2026-07-08
LUCIFER;6;0;0;14925.0;2026-07-08
LINAS;7;0;0;17525.0;2026-04-08
LEPTON;5;0;0;12375.0;2026-06-10
LIVE ON;6;0;0;13400.0;2026-07-15
LAOS DE BANVILLE;6;0;0;14600.0;2026-03-20
HERBU DU FERRON;2;0;0;4850.0;2026-01-25
LORENZO BOKO;5;0;0;12825.0;2026-04-10
JAURESS DE CANI;8;0;0;22150.0;2026-06-21
HARING OKINA;8;0;0;20775.0;2026-07-08
JUNGLE GREEN;1;0;0;2700.0;2026-01-08
HURRICANE FRANCE;7;0;0;18500.0;2026-04-05
EVEN STEVEN;3;0;0;7925.0;2026-02-14
INSOLENT SOMOLLI;8;2;0;20350.0;2026-07-17
REDBULL PELLINI;7;1;0;18125.0;2026-06-06
BALDUR;1;0;0;2700.0;2026-01-08
HAFFIENOU;2;0;0;5400.0;2026-01-31
JACK DU BARBEY;2;0;0;5575.0;2026-06-13
JORLANDO;6;1;0;15875.0;2026-04-06
MALICE DES RACQUES;2;0;0;5300.0;2026-01-22
MAG DES CHALIERS;1;0;0;2550.0;2026-01-08
MAGIC DU VALLON;5;1;0;13100.0;2026-05-15
MAKAO DE ROUAISSE;4;1;0;10425.0;2026-04-12
MALICE DU GERS;6;0;0;16725.0;2026-07-08
MARBELLA SMART;5;1;0;13750.0;2026-05-24
MIRAGE D'ERPION;7;0;0;17925.0;2026-07-13
MADISON DANICA;4;3;0;10525.0;2026-04-29
MERCI MADAME;5;0;0;12725.0;2026-07-13
MONTANA SOLO;3;0;0;8275.0;2026-06-18
MIGHTY DOTHRAK;4;1;0;9900.0;2026-02-08
MOZART DU DIGEON;2;0;0;5125.0;2026-04-12
MODEVY;6;0;0;15050.0;2026-06-30
MAESTRO JASMA;6;0;0;14000.0;2026-04-05
KAMIKAZE;1;0;0;2550.0;2026-01-08
KOOPLES DE LARRE;4;1;0;9850.0;2026-05-24
KEYS;8;2;0;19725.0;2026-07-13
KUEENTRASS;3;1;0;7400.0;2026-07-08
KRICK DE CONDE;4;0;0;10425.0;2026-06-18
KOKA DU DOUET;8;1;0;21650.0;2026-07-11
KANGCHENJUNGA;3;0;0;7250.0;2026-05-17
KATINKA COTON;3;0;0;7500.0;2026-02-18
KADOR D'OURVILLE;3;0;0;8500.0;2026-04-05
KYRIELLE D'ALBRET;10;0;0;26300.0;2026-06-26
KALINE DE COSSE;9;3;0;24600.0;2026-06-21
KING DE BOUTEAU;5;0;0;12925.0;2026-07-12
KAISER BEGONIA;4;0;0;10850.0;2026-05-25
MISTRAL DE LOISEL;7;0;0;18925.0;2026-06-05
MARITZA D'ORION;1;0;0;2550.0;2026-01-08
MELBA DU PADOUENG;7;0;0;18350.0;2026-07-13
MALDIVE DE TILLARD;2;0;0;5350.0;2026-05-11
MEGA D'UZE;3;2;0;8125.0;2026-05-15
MIRELLA DE LOU;7;0;0;16650.0;2026-05-31
