nom;nb_courses;nb_victoires;gains_total;somme_distances;derniere_date
ISIMONEY DU CHENE;5;0;0;12000.0;2026-07-07
JULLIAN DADDY;7;0;0;19250.0;2026-05-15
JAZZ;1;0;0;2150.0;2026-01-21
JAVA CAILLERIE;7;0;0;18175.0;2026-05-31
IRANCY CODIE;2;0;0;4850.0;2026-04-06
JOKER DREAM;7;0;0;18600.0;2026-07-10
NAOMIE DEUGE;7;0;0;18550.0;2026-05-24
NIGHT DRESS;5;1;0;13125.0;2026-03-20
NIGHT PURPLE;3;0;0;6825.0;2026-06-24
NIKITA HONEY;2;0;0;4525.0;2026-02-10
NATIF DE JOUDES;3;0;0;8000.0;2026-06-06
NOMADE DE RIVIERE;5;0;0;12125.0;2026-05-15
NIKYSTAR D'AUVRECY;6;0;0;14750.0;2026-04-25
MACKMAHCATH;3;0;0;7650.0;2026-06-06
MAUVE ET DURHAM;3;0;0;7500.0;2026-04-13
MALANDRINO;9;2;0;23975.0;2026-07-12
MON BARTH;1;0;0;2425.0;2026-01-21
MILLESIME TIKELOLE;4;0;0;10525.0;2026-03-15
MAX DE COQUERIE;8;0;0;21175.0;2026-04-13
MISS JABA;2;0;0;5000.0;2026-02-01
MILADY DIGEO;2;0;0;5000.0;2026-02-15
MINERVE;6;1;0;14975.0;2026-06-30
MARTALINE THE BEST;4;1;0;9700.0;2026-07-13
MERRY DE NORTHEN;1;0;0;2425.0;2026-01-21
MAG DE LOIRON;3;0;0;8025.0;2026-06-27
MADE IN WIND;3;0;0;8275.0;2026-06-01
MAJESTUEUSE IDEE;3;0;0;8025.0;2026-05-01
MELODIE DES ARCS;7;0;0;19600.0;2026-07-08
MELITTE DE RIVIERE;8;2;0;18025.0;2026-06-16
MELUSINEDARCHE;1;0;0;2425.0;2026-01-21
MEDINA DREAM;4;0;0;9900.0;2026-06-25
MY LOVELY GIRL;4;1;0;11075.0;2026-07-01
KING TRACK;6;4;0;16600.0;2026-05-04
KADOR DES TITHAIS;7;1;0;19100.0;2026-07-15
KOULOU GAGOU;2;0;0;5275.0;2026-02-06
JARDIN DE MAHEY;3;1;0;8575.0;2026-06-08
JINGLE PACA;2;0;0;6250.0;2026-02-07
KAIROUAN GLAM;3;0;0;8775.0;2026-06-04
JOYEUX PURPLE;1;0;0;3125.0;2026-01-21
JALACTIC;6;0;0;16625.0;2026-07-15
KHAMSA;3;0;0;8675.0;2026-02-13
JEKILL ROCQ;5;0;0;14100.0;2026-07-07
KISS WOOD;7;1;0;20000.0;2026-07-05
KELLOU DES BRUMES;4;0;0;10400.0;2026-04-13
L'ASTRE D'ORION;3;0;0;7700.0;2026-07-12
LORD OF THE RINGS;5;3;0;12475.0;2026-07-14
LATINO BELLO;7;0;0;17400.0;2026-07-11
LULO DE SUHARDIERE;4;0;0;11225.0;2026-06-01
LE CHARLY D'YVI;8;0;0;21350.0;2026-07-05
LIRELLO;4;0;0;9150.0;2026-02-27
LUTIN DE LA BASLE;6;0;0;15575.0;2026-05-25
L'ARGENTIER;6;0;0;15375.0;2026-06-27
LIPTON SPEED;2;1;0;4925.0;2026-04-05
LATINA PLANCHETTE;2;0;0;5550.0;2026-02-07
LILY IMPERATRICE;4;0;0;10550.0;2026-06-27
LAIKA DE L'ISOP;8;0;0;21575.0;2026-06-24
LILI D'AMOUR;4;0;0;10225.0;2026-05-01
LOZA;3;1;0;7450.0;2026-03-16
LOVA BLUE;3;0;0;8275.0;2026-02-13
GODFATHER (DEN);2;0;0;4950.0;2026-02-05
DAYAK (ITY);5;1;0;13325.0;2026-06-19
DYLAN DOG FONT;4;0;0;9150.0;2026-03-21
JANKO HAUFOR;6;1;0;16100.0;2026-06-05
IDYLLE DU PERSIL;9;0;0;19227.0;2026-07-04
IMHOTEP FROMENTRO;5;1;0;12250.0;2026-04-29
JAPAROV LIRE;7;1;0;19675.0;2026-06-13
JOLIE STAR;8;4;0;22100.0;2026-06-30
JIBI DU FRUITIER;2;0;0;5475.0;2026-07-12
IOUPY TOLLEVILLE;10;0;0;27400.0;2026-07-08
MATEO DI QUATTRO;5;0;0;12575.0;2026-04-04
JOURNEE REVEE;4;0;0;11100.0;2026-03-21
GURION FONT;1;1;0;2700.0;2026-01-22
MISTER MOMO;4;0;0;10200.0;2026-02-28
PRINS PAASLOO;2;0;0;5400.0;2026-02-15
TOEKY BOUM;2;0;0;5400.0;2026-02-01
GIACINTO SL;1;0;0;2700.0;2026-01-22
MILAN DU BOSQUET;4;2;0;10800.0;2026-04-11
MAJIRO KALOUMA;3;0;0;7750.0;2026-05-21
GRIZZO JET;2;0;0;5550.0;2026-01-27
GO BIG EFFE;3;0;0;8250.0;2026-04-04
GHOSTRIDER FONT;5;2;0;13800.0;2026-06-02
GENNARO JET;1;0;0;2700.0;2026-01-22
MAGNUS TOR;5;0;0;12375.0;2026-05-05
GRAN PREMIO (ITY);3;0;0;8250.0;2026-06-02
ISOCRATE D'ELA;2;0;0;4800.0;2026-02-16
HUGO DU BOURG;5;0;0;11000.0;2026-04-05
IF I TELL YOU;4;1;0;9775.0;2026-06-13
HERMES LUDOIS;10;0;0;27175.0;2026-06-14
GREZ;4;0;0;11100.0;2026-06-03
GASSMAN D'ESSA;4;0;0;9100.0;2026-03-17
GIROLAMO;1;0;0;2100.0;2026-01-22
GARANCIO BELLO;1;0;0;2100.0;2026-01-22
FILOU SMILING;8;0;0;20150.0;2026-07-16
IERMES DE GUEZ;7;0;0;16725.0;2026-06-27
GREYSON;3;0;0;7150.0;2026-04-11
GALEO DU TORDOIR;2;1;0;4150.0;2026-03-09
GOSSIP BOY;1;0;0;2100.0;2026-01-22
HIATUS;6;1;0;13400.0;2026-06-05
MA BICHE NOA;9;2;0;22600.0;2026-07-08
MIDNIGHT SOMOLLI;5;0;0;12600.0;2026-07-16
MOONSTAR JYL;7;2;0;17950.0;2026-07-11
MAGIC MAGGIE;9;0;0;23600.0;2026-07-03
MOME DU LUPIN;2;0;0;4900.0;2026-05-22
MY QUEEN DELO;5;0;0;12725.0;2026-06-08
MAKE IT RIGHT;6;1;0;14650.0;2026-05-15
MADEMOISELLE JOLIE;2;1;0;5025.0;2026-02-10
MOLLY DU CAUX;4;0;0;10250.0;2026-07-15
JAVA DES AUGERIES;11;0;0;26875.0;2026-06-08
JUDICIEUSE ZAILER;10;0;0;22634.0;2026-07-13
JAINA D'ESSARTS;4;1;0;10025.0;2026-07-15
JALNA GIRL;7;4;0;19000.0;2026-05-24
JUJU DE NORTHEN;2;0;0;4975.0;2026-03-22
JOIE D'AMOUR;1;0;0;2175.0;2026-01-22
JUANA DE SEY;1;0;0;2175.0;2026-01-22
JUVAMINE RENARDIER;3;0;0;6775.0;2026-06-18
JAHIA DU TRIO;2;0;0;5025.0;2026-03-21
JENTIL DIESCHOOT;8;2;0;22025.0;2026-06-17
JOHORE;2;0;0;4800.0;2026-03-27
HILTON DU HOULET;1;0;0;2700.0;2026-01-22
JERICHO DU RIB;3;0;0;8350.0;2026-06-09
INDY DE LA FYE;5;0;0;14025.0;2026-07-05
JOOST D'OLERON;8;1;0;20709.0;2026-07-04
IN EN VRIE;5;0;0;12250.0;2026-04-26
HENZO DE CARSI;5;0;0;11209.0;2026-06-12
IRINO DE GUERON;1;0;0;2700.0;2026-01-22
LAY UP;5;1;0;12900.0;2026-04-24
LE TOUQUET;8;1;0;18800.0;2026-06-26
LIMO DE MER;4;0;0;9650.0;2026-06-06
LABEL DE LARRE;3;0;0;8225.0;2026-07-16
LILIUS DE GUEZ;1;0;0;2700.0;2026-01-22
LOOK D'HERMES;5;0;0;12750.0;2026-07-13
LOOKING D'AURCY;3;0;0;8100.0;2026-02-27
LOVER JULMA;6;0;0;14350.0;2026-07-07
L'ESPOIR;6;0;0;17125.0;2026-06-12
LEADER DU CHATELET;5;0;0;13750.0;2026-06-12
L'ATOLL;7;0;0;18275.0;2026-06-13
KANO;7;2;0;18375.0;2026-07-17
KORONA DELADOU;4;0;0;10450.0;2026-07-03
KERALDO;4;0;0;9600.0;2026-05-13
KIKI AND CO;2;0;0;4975.0;2026-03-06
KINGSLAND DE SIMM;6;1;0;15825.0;2026-05-02
KEEN ON ME;3;1;0;7600.0;2026-05-14
KING DE L'OUEST;3;1;0;7625.0;2026-04-26
KOMERE DE CORDAY;3;0;0;7825.0;2026-03-06
JAVA DU GILET;3;0;0;7550.0;2026-02-27
HELTER SKELTER;4;0;0;10350.0;2026-04-19
ILDO DES CHAMPS;5;0;0;13100.0;2026-06-20
IGOR DE LA MORELLE;2;0;0;5400.0;2026-05-31
ICARE DE BANVILLE;4;0;0;10300.0;2026-06-20
JASPER'S WAY;5;0;0;12325.0;2026-05-24
JEFF DE MONPAZ;5;1;0;13625.0;2026-07-14
IMPERATRICE HEDEN;2;0;0;5700.0;2026-05-24
IN LOVE DE VALMIER;1;0;0;2750.0;2026-01-22
HALBI;1;0;0;2750.0;2026-01-22
HASPARNE DUEM;8;0;0;20525.0;2026-07-14
JET DE LA FERME;8;0;0;21500.0;2026-06-17
HAMPTON AMERICA;9;0;0;22050.0;2026-06-01
HERMENCE DAIRPET;3;0;0;7875.0;2026-05-17
IMPERIAL GOLD;3;0;0;8250.0;2026-04-17
NO PAIN;3;0;0;7475.0;2026-03-03
NARCO DE ROUAISSE;3;0;0;7050.0;2026-04-12
NONTAURIOLAIS;1;0;0;2150.0;2026-01-22
MUDGEE CREEK;3;0;0;7950.0;2026-03-22
MANU DUEM;5;0;0;12850.0;2026-05-15
MARIAGE DUEM;3;0;0;8075.0;2026-05-15
MANOLO PENEME;4;0;0;9875.0;2026-03-29
MY LADY D'OVAKI;1;0;0;2750.0;2026-01-22
MANHATTAN KABOUL;3;0;0;7900.0;2026-03-15
MAMA PACHA DUEM;4;0;0;9950.0;2026-07-13
MATARIKI;7;1;0;18450.0;2026-06-16
L.A.BOKO;5;0;0;12000.0;2026-04-10
FILOU DE SITA;7;0;0;15993.0;2026-07-04
BEAT GENERATION;2;0;0;4775.0;2026-02-09
HAMIGO;8;0;0;20300.0;2026-07-17
GRIGRI DU BONHEUR;6;0;0;15675.0;2026-04-17
GERSHWIN DE CHENU;3;0;0;8075.0;2026-03-25
GALOPIN DES CHAMPS;6;0;0;15850.0;2026-05-27
IENA D'ORGERES;4;0;0;10450.0;2026-04-29
GRANIT DU FRESNE;7;0;0;16509.0;2026-07-04
INCROYABLE BLACK;5;0;0;13450.0;2026-03-26
GUIGNOL DE CHARDET;1;0;0;2150.0;2026-01-22
GAILLARDE QUERAY;2;0;0;4775.0;2026-06-17
HIMALAYA NARCY;2;0;0;4550.0;2026-04-29
FREEDOM (NOR);7;3;0;17775.0;2026-06-05
HAPPY PACHA;4;0;0;9400.0;2026-07-16
MARCUS DECHAMBOU;2;0;0;5700.0;2026-02-27
MARMOTTAN;5;0;0;13150.0;2026-07-13
MEXICO;5;1;0;12850.0;2026-07-13
MARAVILLA DU METZ;6;0;0;16175.0;2026-06-05
MISTER SOLO;1;1;0;2950.0;2026-01-22
LE MAGICIEN;6;3;0;16150.0;2026-05-30
LUMIERE DU CHENE;4;0;0;9975.0;2026-07-13
LINADA BELLA;4;0;0;10350.0;2026-06-20
LUKE SKYWALKER;6;0;0;15875.0;2026-07-13
NINKASI SOYER;2;1;0;5300.0;2026-02-09
NUANCE KADESH;7;0;0;18025.0;2026-05-12
NORTHERN WAY;3;0;0;6825.0;2026-03-01
NEO;5;1;0;12950.0;2026-06-19
MONSIEUR CHARMEUR;4;0;0;10725.0;2026-05-06
MADIBA MARBEN;7;3;0;19375.0;2026-07-02
MILORD D'ISSE;8;1;0;22175.0;2026-07-09
MISS D'ARSA;3;1;0;7825.0;2026-02-27
MISS VASTERIE;3;0;0;8250.0;2026-03-15
MISS WINNER;9;1;0;23050.0;2026-07-10
MAYO DES FLOTS;3;0;0;7650.0;2026-04-13
MISS EMMY RUSH;5;1;0;13600.0;2026-05-02
MAD MAX D'AVRAN;5;0;0;13025.0;2026-05-23
MOI PLUS TOI;4;0;0;11125.0;2026-07-09
MINNIE DE SUBLIGNY;4;0;0;10775.0;2026-04-24
MY WAY LOVE;4;0;0;10625.0;2026-05-15
MEC D'ERCOURT;7;1;0;18075.0;2026-07-17
LILI D'EVAILLES;8;1;0;22900.0;2026-06-29
LOVELY KADY;3;1;0;8350.0;2026-04-19
LADY DAIRPET;5;3;0;13700.0;2026-06-12
LENNY D'EP;5;0;0;13925.0;2026-07-16
LAMENTIN;9;1;0;24700.0;2026-07-14
LEADER CARISAIE;7;0;0;20400.0;2026-04-22
LOVE ACTUALLY;3;1;0;9150.0;2026-04-01
LUDO PAROYO;4;0;0;11600.0;2026-07-08
KECILPOSTE;3;0;0;8550.0;2026-06-20
KALI DEL PURPLE;2;0;0;6000.0;2026-06-26
KUZA DU BOUILLON;6;0;0;16150.0;2026-07-16
KIARA DES BORDES;6;1;0;16550.0;2026-06-07
KOSCA DES CAILLONS;4;0;0;11525.0;2026-07-17
KIARA MAURICIENNE;4;1;0;11400.0;2026-05-08
KALIMERO DE RIO;5;0;0;13650.0;2026-06-01
KILLER POINT;5;1;0;14300.0;2026-06-08
KING BLACK DANOVER;1;0;0;3150.0;2026-01-23
KILOU;2;0;0;6025.0;2026-03-13
KRONOS ZEN;5;0;0;14500.0;2026-06-01
JUNON DES ROSES;12;0;0;31600.0;2026-07-10
JOKER DE LA BRETTE;3;1;0;8550.0;2026-06-26
ICONE PONT VAUTIER;3;0;0;9050.0;2026-07-13
IRIS DU PERCHE;1;0;0;3150.0;2026-01-23
LESLEY ARCTIC;6;0;0;14875.0;2026-06-24
LASKA DU LIVIER;6;1;0;15600.0;2026-06-19
LIZY DU VIVIER;6;0;0;16175.0;2026-06-22
LADY DE BEYLEV;7;0;0;18400.0;2026-06-19
LILLY DE GOUYE;7;1;0;18450.0;2026-07-13
LIPSTICK QUICK;6;2;0;16150.0;2026-03-20
LOUMIODO;4;0;0;10925.0;2026-03-03
IBANA DE MONTI;5;0;0;13400.0;2026-06-20
JOLIE MOME CHIC;8;0;0;22100.0;2026-07-10
JAKARTA DU LEVANT;6;0;0;15825.0;2026-07-12
JONGLEUSE DE BRY;3;2;0;8475.0;2026-03-21
HIGH TECH ROC;4;0;0;10475.0;2026-06-01
IBIZA EVENING;6;1;0;15675.0;2026-04-29
HAYASTAN DE ROSAN;9;0;0;24200.0;2026-07-12
HARENA DE MARZY;7;0;0;19300.0;2026-03-20
INFINITY JET;5;1;0;12209.0;2026-06-10
HAPPY D'AIMTE;9;0;0;24550.0;2026-06-27
LEADER DU POMMEAU;4;0;0;10425.0;2026-06-19
LAPS GEDE;2;0;0;5075.0;2026-02-12
LOGAN JIEL;7;0;0;20000.0;2026-07-13
LIVANTO KALOUMA;4;0;0;11650.0;2026-06-13
LYNYRD SKYNYRD;2;0;0;5850.0;2026-02-10
LE CASHMAKER;6;1;0;16675.0;2026-07-01
LOTUS GRIFF;6;1;0;17125.0;2026-04-27
LOVER MAUZUN;4;0;0;11775.0;2026-06-03
LUPIN D'OLMEN;8;4;0;22850.0;2026-07-04
LEVER DU JOAMAX;4;0;0;11850.0;2026-06-03
LEWIS RIVER;6;0;0;15675.0;2026-06-21
IVY METAL;2;0;0;5650.0;2026-07-02
IQUEM MARVIC;5;0;0;13425.0;2026-06-06
IMPACTDARCHE;6;0;0;15625.0;2026-06-13
ILLUMINATI;2;0;0;5075.0;2026-02-07
JALNY DE CASTELLE;3;2;0;8850.0;2026-04-17
JERRY QUICK;6;1;0;16325.0;2026-06-02
IRUN DU BOCAGE;3;1;0;8225.0;2026-04-18
JAGUAR GEDE;8;1;0;21850.0;2026-04-23
JURDIG LESMELCHEN;5;0;0;13650.0;2026-07-10
INO DE BREVOL;8;0;0;20425.0;2026-07-15
FIFTY WINNER;6;0;0;16550.0;2026-03-10
MAGGY JENILOU;3;1;0;7175.0;2026-03-20
MELODIE D'HOULBEC;8;0;0;20825.0;2026-07-12
MOLLY DU VALLON;7;0;0;18050.0;2026-07-11
MAMICASH D'HERIPRE;1;0;0;2150.0;2026-01-23
MADE IN ATALANTE;6;0;0;14275.0;2026-04-03
MY WAY LEAGABIN;5;0;0;11625.0;2026-04-03
MACARENA D'HOULBEC;9;0;0;23675.0;2026-07-10
ISCHIA JOY;3;0;0;8100.0;2026-06-05
NOVA TIM;6;0;0;15150.0;2026-05-26
NANIKA DU PONT;3;0;0;7575.0;2026-02-22
NOELA JOSSELYN;8;1;0;20000.0;2026-07-04
NORMA JEANE;6;0;0;15150.0;2026-06-21
NORMANDIE NIEMEN;5;2;0;12975.0;2026-06-21
NAYARA;4;1;0;10275.0;2026-06-21
NOCIVE DU CHOQUEL;5;2;0;12975.0;2026-06-21
INSTAGRAM BI;1;0;0;2700.0;2026-01-24
US DARBY;2;1;0;4850.0;2026-07-04
IAGO ROC;1;0;0;2700.0;2026-01-24
NAT KING COLE;7;2;0;17325.0;2026-06-21
NET MONEY;9;0;0;22700.0;2026-07-04
NELSON DE BUSSET;5;0;0;12425.0;2026-07-04
NEVER FORGET;6;0;0;15125.0;2026-07-04
NELSON EMGE;5;0;0;12975.0;2026-06-21
NOB HILL;5;0;0;12975.0;2026-06-21
NUEVO CASH;5;0;0;12975.0;2026-06-21
EAST ASIA;2;0;0;4800.0;2026-02-28
CASH BANK BIGI;2;0;0;4200.0;2026-02-07
HANNIBAL TUILERIE;7;0;0;19025.0;2026-06-21
EXECUTIV EK;3;1;0;5809.0;2026-03-08
HORCHESTRO;7;0;0;19175.0;2026-06-21
GENDREEN;7;0;0;18500.0;2026-07-04
HAMILTON DU HAM;7;1;0;17050.0;2026-07-13
KIKA JOSSELYN;3;1;0;7650.0;2026-02-22
CHANCE EK;1;0;0;2100.0;2026-01-24
HERMES D'ECROVILLE;7;0;0;18950.0;2026-05-29
BAYARD (GER);3;0;0;6950.0;2026-06-27
GOLD D'ECROVILLE;11;0;0;29275.0;2026-06-12
HOMARD LAND;4;3;0;10950.0;2026-06-21
HELIOS D'ELA;2;0;0;5700.0;2026-03-25
GREG DE NIRO;6;1;0;16125.0;2026-07-16
HALL BLACK MESS;6;0;0;16725.0;2026-05-20
GAGNEUR;2;0;0;5550.0;2026-04-10
HAWAI RIVER;2;0;0;5550.0;2026-02-17
FLYING BRICKELL;3;0;0;8200.0;2026-05-27
MAESTRO VRIE;6;1;0;15100.0;2026-06-21
MORALITY;2;0;0;4800.0;2026-02-07
GOLDEN GIO;2;0;0;5150.0;2026-05-09
MAGNUM DU CHOQUEL;6;0;0;15000.0;2026-06-21
MADRID HAUFOR;4;2;0;10375.0;2026-06-06
GUGLIELMO JET;1;0;0;2700.0;2026-01-24
GABRIOZ;1;0;0;2700.0;2026-01-24
MILLE ETOILES;1;0;0;2700.0;2026-01-24
MAGIC NIGHT;5;0;0;12825.0;2026-06-06
MACK DE BLARY;2;0;0;5400.0;2026-06-06
GINOSTRABLIGGI;1;0;0;2700.0;2026-01-24
LADY DE VANDEL;5;0;0;13400.0;2026-05-19
LADY DES ARRIS;5;0;0;12525.0;2026-03-17
LA DAME DE COEUR;5;0;0;14050.0;2026-05-23
LUCIOLE DU VERTAIN;6;0;0;15050.0;2026-07-07
L'ETOILE;2;0;0;4800.0;2026-02-05
LATINA QUICK;2;0;0;5625.0;2026-02-26
LESTANCIA BELLA;1;0;0;2700.0;2026-01-24
LILIE D'OMAHA;3;0;0;7575.0;2026-06-21
LOLA DU CAMPUS;5;0;0;12500.0;2026-07-09
LILY DE L'AUNAY;8;2;0;20975.0;2026-05-23
FERAHAN AS;7;0;0;19100.0;2026-07-04
LIBERTE DE CHOISEL;5;2;0;13125.0;2026-06-06
L'ECRIN D'OR;1;0;0;2700.0;2026-01-24
HAMPTON DU VIVIER;1;0;0;2100.0;2026-01-24
HOTOT;5;0;0;11600.0;2026-07-01
HEIDI DU BISET;10;1;0;24300.0;2026-06-30
GERONIMO STARDUST;1;0;0;2100.0;2026-01-24
INSTAGRAM;8;0;0;19550.0;2026-07-02
GALTON SAINT BAR;5;2;0;11400.0;2026-05-23
IOUP LA BOUM;8;0;0;18850.0;2026-06-23
FINGALO;1;0;0;2100.0;2026-01-24
MONEY SHARK;2;0;0;5550.0;2026-01-29
TROTTER PAVILLON;4;0;0;11125.0;2026-06-26
TI AMO VIKTORY;1;0;0;2700.0;2026-01-24
HOWINGS ELLY;1;0;0;2700.0;2026-01-24
PEBBLES NEWPORT;2;0;0;5400.0;2026-02-16
GITANA FLAMENCO;2;1;0;4800.0;2026-02-28
GESTODAMORE ROSA;1;0;0;2700.0;2026-01-24
STONEHILLPEARL;2;0;0;5550.0;2026-06-05
MIA DE SIMM;8;1;0;21450.0;2026-07-11
MARIYA HAUFOR;2;0;0;5400.0;2026-02-01
GRACE KELLY HP;1;0;0;2700.0;2026-01-24
MIDORIYA DU BOURG;1;0;0;2650.0;2026-01-24
MAUZIN DE CROUAY;4;0;0;10250.0;2026-05-28
MARUDA;5;0;0;13350.0;2026-04-14
MOULU JIHEM;3;1;0;7950.0;2026-03-09
MADRILENE;4;0;0;11150.0;2026-06-24
MODE VANILLE;5;0;0;13750.0;2026-06-30
MY LOVE GIO;4;0;0;10475.0;2026-04-05
LADY D'ALEX;4;0;0;9909.0;2026-07-04
LOST;2;1;0;4950.0;2026-06-24
LIBERO DE LOU;7;0;0;19450.0;2026-06-20
LOVA DE BOURGOGNE;8;1;0;20900.0;2026-06-27
LEVE TOI;4;0;0;10525.0;2026-04-26
LOCAPO DU BOCAGE;4;0;0;9950.0;2026-03-01
LUCKY BENOIT;6;0;0;16650.0;2026-06-09
LIBERIAN GIRL;3;0;0;7950.0;2026-07-05
LAPON DE BERTRANGE;6;1;0;14059.0;2026-07-04
L'INDIEN PEARL;6;2;0;16475.0;2026-06-13
IDAGANI POINT ONE;6;1;0;14075.0;2026-07-17
HODRIGO EVER;7;1;0;17800.0;2026-07-17
KANDIE D'ORCO;8;2;0;21750.0;2026-07-03
JOB DES LOUANGES;9;1;0;23050.0;2026-06-26
ISSU DES LOYAUX;2;0;0;4825.0;2026-03-06
JANDICE STAR;10;0;0;27275.0;2026-06-28
BOMBER MAN;3;0;0;6900.0;2026-05-07
KOMANIA D'ABY;4;0;0;10750.0;2026-06-27
KEEN DE MAHEY;2;0;0;5250.0;2026-03-12
KIYOHA DE NAPPES;5;0;0;12509.0;2026-07-01
KELLY DE CERISY;6;0;0;14709.0;2026-07-01
KIM BLUE;7;0;0;17800.0;2026-06-29
KOPALINE DE CHENOU;6;0;0;14284.0;2026-07-01
LABEL MESS;5;0;0;13950.0;2026-05-16
LOU D'ECHAL;11;0;0;29675.0;2026-07-03
LEADER OAKS;1;0;0;2650.0;2026-01-24
LOVE ME DE CERISY;3;0;0;8550.0;2026-06-30
LILY CARNOIS;7;0;0;18950.0;2026-06-26
LA PRIMAVERA;2;0;0;5300.0;2026-02-01
JOHANNA ELEVEN;8;0;0;21750.0;2026-07-03
JACK REACHER;5;0;0;12875.0;2026-03-13
JACKASS LATIN;8;0;0;20825.0;2026-06-27
JIVAGO BLEU;3;0;0;7575.0;2026-02-16
JOLISSIME ELDE;7;1;0;17975.0;2026-06-24
KIMCHI D'ELIOTT;1;0;0;2650.0;2026-01-24
KLIMT MERITE;7;1;0;17500.0;2026-06-20
KISS BOY;6;0;0;16250.0;2026-06-23
KONOR HIGHLAND;5;0;0;12475.0;2026-05-15
KANNABIS JELOCA;5;4;0;13650.0;2026-06-19
KINGSLEY;6;0;0;17075.0;2026-05-30
NELUMBO PHIL;3;0;0;7650.0;2026-02-06
NEVER BETTER WELL;3;0;0;8125.0;2026-02-15
NEW FOX STAR;2;0;0;5300.0;2026-02-07
NICKNAME BOND;6;1;0;16250.0;2026-07-17
NONOALCO;2;0;0;5500.0;2026-03-01
MODE CATZ;6;0;0;15575.0;2026-06-27
MANON PHIL;3;0;0;7275.0;2026-05-17
MARILOU D'ERI;2;0;0;4950.0;2026-02-08
MELODIE DU RENARD;5;0;0;12450.0;2026-06-01
MAGIQUE ROBSONS;1;0;0;2150.0;2026-01-24
MAYANE PLENNERIE;2;0;0;4850.0;2026-06-13
MESSINE MAGIQUE;2;0;0;4950.0;2026-04-12
MILONGA PLANCHETTE;6;0;0;14525.0;2026-07-01
MILLY D'HERIPRE;1;0;0;2150.0;2026-01-24
MEMPHIS TENNESSEE;1;0;0;2150.0;2026-01-24
MARQUIS DES LANDES;7;0;0;18300.0;2026-07-01
MADISON PLANCHETTE;3;0;0;7475.0;2026-07-17
MENDES DE JED;6;0;0;16000.0;2026-06-27
MY LUCKY BOY;4;0;0;10425.0;2026-07-02
MADMAX DES OUBEAUX;2;0;0;4850.0;2026-02-09
MAKFY;1;0;0;2150.0;2026-01-24
MOZART DE CHANJAC;2;0;0;4950.0;2026-02-06
MAX DES CARREAUX;2;0;0;4950.0;2026-02-08
MILLENIUM CLEVILLE;1;0;0;2150.0;2026-01-24
ME VOILA SACRE;3;0;0;7525.0;2026-04-05
LEU DES BOIS;1;0;0;2875.0;2026-01-24
LOUDEAC D'YVI;3;0;0;8375.0;2026-03-01
LEO PHIL;1;0;0;2875.0;2026-01-24
LYNX;1;0;0;2875.0;2026-01-24
LOULOU EFBE;4;0;0;11050.0;2026-03-14
LOOK DES CAILLONS;7;2;0;18850.0;2026-07-17
LOURASI DU MELEUC;3;0;0;8300.0;2026-06-27
LOKI FACTIER;7;0;0;18700.0;2026-07-07
LORD BRIDGERTON;3;0;0;8400.0;2026-02-21
LINO DU POMMEREUX;9;0;0;22709.0;2026-07-04
LOOPING DE MA;3;0;0;8775.0;2026-04-24
LATINO DE CANCHY;5;1;0;14200.0;2026-04-12
LUTIN DES CHAMPS;3;0;0;8675.0;2026-05-15
LOUSTIC AMARLOUICA;4;0;0;11200.0;2026-06-08
LUCKY DE LINE;2;0;0;5825.0;2026-05-23
LE ROCKER DE PLAY;7;2;0;19000.0;2026-06-04
LUTIN DU LAYON;3;0;0;8500.0;2026-07-14
KERU DE LOU;3;0;0;8150.0;2026-07-09
KEOPS DES HAUBOIS;5;0;0;13800.0;2026-07-17
KEEPSAKE;3;0;0;8550.0;2026-06-17
KOBRA JENILOU;4;1;0;10575.0;2026-05-19
KINCI DE BERCE;2;0;0;5925.0;2026-02-07
KOBALT;4;0;0;9784.0;2026-07-04
KYMI JACK;4;0;0;10600.0;2026-06-23
KOKO MARBOULA;2;0;0;4950.0;2026-02-06
KOLOSSE;4;0;0;10050.0;2026-07-12
KELSAM DU RUISSEAU;6;2;0;15550.0;2026-05-30
KING IMPERIAL;5;0;0;13850.0;2026-05-08
KAMALIS;4;0;0;10750.0;2026-03-29
KARISME NAY;2;0;0;5750.0;2026-07-09
KSAR UNICK;6;1;0;16325.0;2026-07-15
KATANA;4;0;0;11075.0;2026-04-14
KALIMERA FLASH;5;0;0;13425.0;2026-07-09
KANELLE;2;0;0;5500.0;2026-02-11
KINGALA;9;0;0;25000.0;2026-06-14
KALINE DE SOYORA;3;0;0;7625.0;2026-04-26
KATE DE LA MOTTE;6;1;0;15850.0;2026-04-19
HADDOCK D'ECOUVES;4;2;0;11425.0;2026-05-08
INES DE GLADJESS;5;0;0;13475.0;2026-07-03
JAVANAIS;7;0;0;19250.0;2026-07-13
IMPERIAL DU CAPRE;5;0;0;14125.0;2026-07-02
JURELLA DE PALM;7;3;0;19000.0;2026-07-15
JAZZ CRISCANI;2;1;0;5925.0;2026-02-07
JUSTINE DU MESNIL;9;1;0;24575.0;2026-06-06
IDYLLE MIKA;3;0;0;8225.0;2026-06-27
INAYA DE NILREM;3;0;0;8450.0;2026-05-14
JOKER DES LANDES;6;1;0;16375.0;2026-07-13
LOVELY FACE;2;0;0;4800.0;2026-02-10
LACIENDA FLASH;3;0;0;7075.0;2026-03-17
LINOTTE DU MOUCHEL;5;0;0;12925.0;2026-06-27
