nom;partants;victoires
J. CUOQ;89;5
B. RUET;173;7
MARTIN CORMY;178;8
C. TRIBOLET;56;2
L. LAMAZIERE;181;13
T. OUVRIE;114;2
F. BROUST;21;0
M. DUJMIC;41;2
G. VIDAL;36;1
N. CORMY;89;3
Y.A. BRIAND;185;5
B. THOMAS;74;0
P. CALLIER;202;17
A. GAUDIN;51;1
J.L. VERRIERE;4;0
TH. BUSSET;51;2
A. TINTILLIER;159;11
PH. GAILLARD;16;1
J.P. PRALUS;4;0
L. GARCIA;45;1
D. MARASCO;18;0
M. LAFFAY;23;2
G. LAURENT;8;0
Q. DAOUGABEL;30;1
L. DURANTET;24;2
ALEXIS LERENARD;92;9
P.A. DELACOUR;78;3
C. PILFERT;1;0
A. REBECHE;185;14
TH. OSSUN;5;1
ET. LEFRANC;25;1
L. LAUDREN;22;2
G. JOUVE;42;1
J. CONDETTE;30;4
N. PERRON;74;10
J. JAMAULT;12;0
P. CIMAROSTI;20;2
CH. THIERRY;13;0
Q. MICHEL;40;3
G. CARDINE;7;0
K. CHAMPENOIS;25;4
T. BEAUVAIS;82;1
P. CASTEL;13;0
S. OLIVIER;36;0
P.A. RYNWALT-BOULARD;12;0
A. LAMY;113;5
M. BIZOUX;8;0
S. POILANE;52;2
A. LENOIR;18;0
M. GILARD;25;0
A. JANNIER;32;3
G. FAVRIS;24;3
MME A. MARANDEL;5;0
J.CH. BEAUFILS;23;1
CH. GUERANGER;2;0
M. BEAUVAIS;48;2
P. BEASSE;27;1
TH. GOUJON;17;1
MLLE M. DE MEYER;46;1
MME ANDREA MAILLARD;3;0
TH. BIZOUX;38;1
MLLE NOEMIE HARDY;35;0
CL. GUILLON;24;0
ST. MEUNIER;13;0
F. PRAT;13;0
J. VAN RIJN;14;2
CH. CLIN;23;0
A. LHERETE;38;6
A. WIELS;151;33
A. MERIEL;19;2
J.Y. RICART;29;2
D. CINIER;131;5
NICOLAS GERMAIN LEFEVRE;92;3
J.CH. SOREL;166;18
R. DERIEUX;177;63
F. DESMIGNEUX;186;14
D. BROUWER;80;13
B. CHAUVE-LAFFAY;144;14
A. TOMASELLI;23;0
E. GOUT;43;1
R. LE VEXIER;11;0
K. AXISA;8;0
PH. TERME;9;0
A. SLIMANE;18;2
D. GAUDIN;2;0
L. DE GROOTE;10;1
H. LAKHRISSI;24;2
J.M. BREHARD;4;0
R. DEBUE;7;0
E. AUDEBERT;43;1
Q. BOUYNE;24;0
MLLE L. DELAHAYE;3;0
MME I. MATHIAS;2;0
TH. MARTINIERE;26;3
G. TOQUE;8;0
M. SAMSON;8;1
MME CH. GAZENGEL;8;0
J. PASQUIER;7;0
MME CH. SCHOTTER;5;0
MME L. CHAVATTE;6;0
MME L. GIROUARD;2;0
MLLE A. DUPUIS;22;0
Y. BOUISSON;20;0
MLLE D. POSTHUMUS;26;2
E. PEREKRESTOFF;7;0
D. BOUYNE;34;1
F. JULIEN;30;8
J.M. FREYSSENGE;17;0
B. CANDELLE-GARDENQ;15;0
J. BOUYNE;15;0
S. CHAVANEL-ALBIRA;5;0
C. VAUTRELLE;1;0
C. LANGLOIS;22;0
L. KONEFAL;13;0
R. BOUDAH;6;0
M. MASSY;9;1
C. BATY;26;6
E. ODIC;9;0
G. BEAUDOUIN;17;2
TH. PRUDHON;26;2
L. LERENARD;22;1
P.J. CORDEAU;16;0
Q. FLEURY;4;0
D.G. CHAVATTE;16;0
J. PAILLE;41;3
J.M. EMPEYTAZ;9;0
H.C. BAKKER;8;0
G. COCARD;4;0
PASCAL DENIS;2;0
J.PH. TREICH;9;1
A. GENESTE;7;0
Y. LERENARD;13;0
J. LEBOUTEILLER;21;3
J.PH. MONCLIN;87;15
F.P. BOSSUET;23;2
A. DABOUIS;43;2
JULIEN RAFFESTIN;93;13
G. MARIN;64;3
P. VENTURA;19;2
S. HOUYVET;45;1
A. THOMAS;54;7
MLLE O. HERBINIERE;2;0
B. BLACHET;8;0
ANDREA ROUSSEL;49;4
RENAUD JULIEN;10;0
S. MARMION;14;1
H. MARIE;33;0
P. TIJOU;12;1
PH. MARIE;10;0
CH. CUILLER;21;0
M. LELOUTRE;13;0
EMILIEN DUPONT;33;4
A. TRINQUART;16;1
L. LHOTE;10;0
L. PITON;31;2
MAXENCE LECOQ;36;0
N. PIERQUIN;14;0
E. QUITTET;14;1
ANTOINE BOUTIN;22;1
MLLE AURIANE MEUNIER;8;0
P. BUHIGNE;33;2
J. RAFFESTIN;1;0
P. MONTHULE;12;0
J. POUTREL;8;0
V. MARQUEZ;3;0
H. SIONNEAU;33;3
M. HERRAULT;56;2
TH. CHALON;38;1
G. SIMON;12;0
LILIAN BERTIN;57;5
F. PRIOUL;21;2
S. BAUDE;126;6
L. JUBLOT;30;0
TANGUY DEVOUASSOUX;22;1
T. COMPAS;4;0
TH. LAMARE;11;0
R. BRETON;12;1
T. CALO;32;0
F. POISSON;22;2
J.B. LELIEVRE;63;3
W. SOUCHET;13;0
M. LEGROS;167;14
A.A. DAVID;8;1
D. JAVELLE;4;0
J. GOSSELIN;17;1
M. MOURO;15;2
M. DURVILLE;8;1
J.M. MARIE;21;0
P. BOUGON BOUGEARD;36;0
E. LELIEVRE;39;6
A. LEDUC;6;0
J.P. GUERANGER;2;0
MME S. RINGLER;6;0
JULIEN RENAULT;17;2
N. RIZZO;2;0
J.PH. DERRIAN;10;0
T. VALLETTE;9;0
H. JOUAULT;11;1
J.L. HOCDE;8;0
E. SMET;2;0
A. MOURAUD;13;0
J.PH. BAZIRE;34;3
P. JANNIER;8;0
W. PLAIRE;35;5
F. JOSEPH;40;5
O. POTIER;25;0
O. RAFFIN;126;6
J. BRUNEAU;24;1
C. GOURGAND;37;2
J. HOCDE;5;0
A. HUBERT;27;2
ALEXANDRE CHEVRIER;20;1
C. MEGISSIER;33;4
E. DOUANEAU;19;0
J. BESCHER;14;1
J.L.CL. DERSOIR;36;7
S. TESSIER;6;0
J. GRUMETZ;6;0
B. LE BELLER;65;8
J. DEBOST;5;0
G. ROIG-BALAGUER;23;1
S. DIEUDONNE;15;1
TH. BEAUCHENE;24;0
FLORENT PELTIER;25;0
M. VERVA;195;10
V. VIEL;8;0
F. VANDENABEELE;10;0
LAURENT VERVA;54;0
D. BERTRAND;17;0
A. GALLARD;16;0
ANTHONY DOLLION;79;5
M. CLAEYSSENS;2;0
M. DURAND;9;0
A. LAIR;19;1
MME P. CAVANIE;31;5
M. BRIDAULT;24;2
MLLE L. LEFEBVRE;4;0
J. ROUX;25;1
A. UNTERREINER;20;1
MME M. HAWAS;14;0
M. IZZO;41;2
CH. HESLOUIN;32;2
M. IONESCU;6;0
V. GALLO;1;0
J.J. BELLEVEAUX;33;2
M. DEMISSY;34;4
TH. GOUT;104;3
ED. COUBARD-MEUNIER;26;0
O. MERLE;33;0
J. CHAUVIN;9;0
S. NOILLY;6;0
S. CINGLAND;109;2
F. DUBAILLAY;9;0
Y.J. LE BEZVOET;17;0
L. LE DREAN;19;0
M. BARRE;43;4
B. CARPENTIER;28;1
CH. GALLIER;11;0
PH. BOUTIN;24;0
J. LEHERICEY;14;1
D. VALLEE;1;0
CH.A. MARY;16;1
F. GUINE;1;0
J.PH. MARY;22;0
MME N. DESCAMPS;4;0
MME B. GUENET;30;4
TH. MARTIN;14;1
MLLE EMILIE DUPERCHE;20;1
MME J. STRANG;2;0
MME K. GUILLON;13;1
A. MANTA;11;1
MME A.K. RASMUSSEN;13;2
CH. BACHE;10;0
MLLE F. AUBER;30;2
P. VAN POLLAERT;11;5
G. JUNOD;26;0
CH.J. BIGEON;67;2
G. GILARD;18;1
ETIENNE DUBOIS;45;8
CH.M. BRUNEAU;6;0
MARCO BASILE;1;0
E. LOCCISANO;7;1
MLLE CL. LELIEVRE;63;11
A. LAURENT;47;7
D.M. OLIVIER;10;0
G. BOUTEILLER;8;0
J. PLANCHARD;14;0
J. SEVIN;10;0
J.ET. ABRIVARD;38;2
V. SEGUIN;43;3
R. GOUGEON;11;2
M. CHOLLOUX;10;0
F. GUINHUT;23;0
R. MARTY;31;3
L. GUENET;32;4
B. BEAUCAMP;21;0
MME R. HAGHIGHAT;5;0
E. LE BEC;4;0
S.E. PASQUIER;27;1
ST. DESHAYES;8;0
MARTIAL VIEL;42;1
P. GESRET;67;4
B. GOETZ;47;3
J.F. MOQUET;19;0
A. CHARBONNEAU;3;0
A. REDON;3;0
MLLE M. PAILLARD;16;0
M. JOUBIOUX;2;0
A. POPOT;30;0
R. JOLY;21;2
H. MONTHULE;47;9
E. BEUDARD;8;2
G. MONTHULE;14;0
PIERRE ABRIVARD;12;0
A. ACEF;5;0
R. LE CREPS;52;1
P. HOUEL;63;2
H. GRIFT;5;0
R. GOUT;18;0
M. LENOIR;10;0
ARNAUD DESMOTTES;77;6
A. MARION;13;1
G. BEAUFILS;12;0
N. BRUN;17;0
A. OMRANI;30;2
M. POTIER;32;3
MME L. MAGNENAT;2;0
N. VIMOND;26;1
F. CORBINEAU;20;2
J. CHAVATTE;74;1
PIERRICK LE MOEL;161;10
D. CANNILLO;11;0
CHARLES BOUVIER;6;0
O. BIZOUX;34;3
R. GROSBOT;27;1
M. AOUDIA;13;0
MICKAEL CORMY;44;3
A. CURY;30;0
F.J. PELTIER;104;3
TH. LEMOINE;17;0
L. PACIFICO;12;0
D.A. HAON;9;0
G. TOURON;43;1
G. FOURNIGAULT;28;2
A. CHAPEY;10;0
G. MOINON;20;0
R. DELAUNE;5;0
R. DOUYERE;9;0
B. DANIELO;14;0
J. GILLET;7;0
MLLE E. KARLEN;10;0
A. MARTON-HELIOT;6;1
A. COLINEAU;5;1
R. PROST-BOUCLE;6;0
D. RENAUDIN;9;0
TH. ROUSSIN;18;0
V. BOULTAREAU;8;0
I. KROUCHI;7;1
J. MATHELIER;15;1
M. GARCON;18;0
H. LEVEAU;1;0
ALEXIS BERNARD;3;0
A. GRUSZKA;1;0
T. PERRIER;23;4
A.P. HENRY;2;0
B. CHEVILLARD;8;0
MME AUDREY MENAGER;14;1
MLLE E. GOETZ;8;0
J. LAROCCA;4;1
MME C. CHAZAL;27;3
J. AUVRAY;4;0
R. PELLIER;11;0
Y. CABARET;3;1
R.CH. LARUE;22;0
MLLE V. GRELIN;10;1
MME A. ROMAN;8;0
MLLE M. D'ESPARBES;6;0
J. UROZ;8;0
K. THONNERIEUX;63;3
D. DEMURU;2;0
R. HEMERY;57;1
D. BARANGER;30;1
D. BROSSARD;10;0
DAVID RENAULT;6;0
MLLE E. SOULOY;1;0
TH. RAFFIN;73;5
Y. VIDAL;9;0
J.H. TREICH;16;0
J.M. TEILLET;3;0
J. RIVIERE;10;0
H. BEAUMONT;5;0
J. MAZOU;5;0
TH. RADOUX;7;0
PH. DANTHU;30;0
B. THIENNE;32;2
N. JULIEN;40;0
MARTIAL GAUVIN;41;1
ST. CORBIN;25;0
E. BRIAND;97;4
MLLE P. HERRY;7;0
MLLE V. LEMETAYER;7;0
S. JAMARD;4;0
B. CHOURRE;4;0
A. MALLET;26;2
MLLE CL.A. THOMAS;12;3
E. FAVIER;8;1
L. LIGOT;8;1
J.D. FRICONNET;3;0
PHILIPPE SEILER;16;0
D. LAPRAY;19;1
A. LEGRAND;7;0
MME CASSANDRA OLIVIER;5;0
MLLE M. MARTINEAU;10;2
MME V. BOUDIER-CORMY;32;9
F. TOUCHARD;26;3
O. TOUVAIS;9;2
B. ANGOT;7;0
E.G. BLOT;38;0
A. NAVEAU;13;1
C. PARYS;19;1
L. BEILEARD;15;0
M. MOREAU;7;0
D. HEON;22;1
J.M. LE CERF;5;0
R. DEMAS;2;0
C. DUBANCHET;1;0
D. DAUVERNE;6;0
MLLE CL. THUET;1;0
R. HERNOT;8;0
M. DELORME;24;1
P.E. COLLARD;28;1
LEO BLAVETTE;21;1
D. MARSAULT;6;0
A.J. DAVID;26;1
V. SAUSSAYE;8;0
J. MELIS MACIAS;20;1
CH. BOISNARD;27;0
MME D. BEAUFILS ERNAULT;5;0
MLLE M. LIBERGE;6;0
J.M. GODARD;11;0
CHRISTOPHER CORBINEAU;20;2
