race_id;date;hippodrome;numero;cheval;prob_robin;p_marche_verrou;p_marche_final;resultat;rapport_verrou;rapport_final;verrouillee
20260801-R3C1;2026-08-01;ENGHIEN;1;NEWTON DES FORGES;0.16077;;0.29105;0;;2.9;0
20260801-R3C1;2026-08-01;ENGHIEN;2;NICOU CHAK;0.04217;;0.03126;0;;27.0;0
20260801-R3C1;2026-08-01;ENGHIEN;3;NEMOS DU GOUTIER;0.10684;;0.09702;0;;8.7;0
20260801-R3C1;2026-08-01;ENGHIEN;4;NOBEL SPEED;0.37303;;0.09591;1;;8.8;0
20260801-R3C1;2026-08-01;ENGHIEN;5;NEWTON ELLIS;0.05298;;0.04442;0;;19.0;0
20260801-R3C1;2026-08-01;ENGHIEN;6;NINO DU CHOQUEL;0.0615;;0.29105;0;;2.9;0
20260801-R3C1;2026-08-01;ENGHIEN;7;NEPTUNE AU VENT;0.11118;;0.02813;0;;30.0;0
20260801-R3C1;2026-08-01;ENGHIEN;8;NINO DE LARRE;0.04401;;0.07673;0;;11.0;0
20260801-R3C1;2026-08-01;ENGHIEN;9;NEBBIO DU LIAMONE;0.04752;;0.04442;0;;19.0;0
20260801-R3C3;2026-08-01;ENGHIEN;1;MISSILE DE TAGOR;0.0163;0.03329;0.02674;0;25.0;31.0;1
20260801-R3C3;2026-08-01;ENGHIEN;2;MIKA DE LA VALLEE;0.31117;0.10809;0.10767;0;7.7;7.7;1
20260801-R3C3;2026-08-01;ENGHIEN;3;MONTJOIE;0.29445;0.52017;0.48767;0;1.6;1.7;1
20260801-R3C3;2026-08-01;ENGHIEN;4;MISTHOS CHRISTAL;0.09829;0.06936;0.0829;1;12.0;10.0;1
20260801-R3C3;2026-08-01;ENGHIEN;5;MY NAME IS BOND;0.0208;0.03329;0.02022;0;25.0;41.0;1
20260801-R3C3;2026-08-01;ENGHIEN;6;MILLENIUM GALAXY;0.14426;0.08323;0.11054;0;10.0;7.5;1
20260801-R3C3;2026-08-01;ENGHIEN;8;MAVERICK ELLIS;0.04063;0.03468;0.02512;0;24.0;33.0;1
20260801-R3C3;2026-08-01;ENGHIEN;9;MARCHAND DE REVE;0.03219;0.03468;0.07537;0;24.0;11.0;1
20260801-R3C3;2026-08-01;ENGHIEN;10;MOJITO DE BANVILLE;0.04191;0.08323;0.06377;0;10.0;13.0;1
20260801-R3C5;2026-08-01;ENGHIEN;1;LOOK MATYSS;0.17702;0.13243;0.10775;0;6.4;7.9;1
20260801-R3C5;2026-08-01;ENGHIEN;2;LOU PRESTANCE;0.11613;0.21732;0.26601;0;3.9;3.2;1
20260801-R3C5;2026-08-01;ENGHIEN;3;LOVER SIXTY ONE;0.02056;0.01599;0.00698;0;53.0;122.0;1
