date;race_id;numero;score;resultat;p_marche_final
2026-01-08;20260108-R1C3;6;1.14234;0;0.01731
2026-01-08;20260108-R1C3;7;-1.0072;0;0.00757
2026-01-08;20260108-R1C3;8;-1.94813;0;0.01266
2026-01-08;20260108-R1C3;9;-1.92215;0;0.0912
2026-01-08;20260108-R1C3;10;2.248;0;0.10219
2026-01-08;20260108-R1C3;12;3.80962;0;0.06058
2026-01-08;20260108-R1C3;13;0.9106;0;0.08482
2026-01-08;20260108-R1C5;1;-4.93332;0;0.00454
2026-01-08;20260108-R1C5;2;1.17621;0;0.01361
2026-01-08;20260108-R1C5;3;3.05788;0;0.18342
2026-01-08;20260108-R1C5;4;-1.91029;1;0.28124
2026-01-08;20260108-R1C5;5;-0.14374;0;0.06027
2026-01-08;20260108-R1C5;6;-5.12834;0;0.00508
2026-01-08;20260108-R1C5;7;-2.1967;0;0.15067
2026-01-08;20260108-R1C5;8;1.4343;0;0.05625
2026-01-08;20260108-R1C5;9;3.02858;0;0.04219
2026-01-08;20260108-R1C5;10;-2.13757;0;0.00861
2026-01-08;20260108-R1C5;11;3.93634;0;0.09698
2026-01-08;20260108-R1C5;12;-2.49433;0;0.00391
2026-01-08;20260108-R1C5;13;4.98041;0;0.0767
2026-01-08;20260108-R1C5;14;1.33056;0;0.01654
2026-01-08;20260108-R1C6;1;0.61449;0;0.00779
2026-01-08;20260108-R1C6;2;0.90234;0;0.14502
2026-01-08;20260108-R1C6;3;3.36678;0;0.04948
2026-01-08;20260108-R1C6;4;-3.48921;0;0.03823
2026-01-08;20260108-R1C6;5;1.60123;0;0.20027
2026-01-08;20260108-R1C6;6;2.75647;1;0.08411
2026-01-08;20260108-R1C6;7;-2.61365;0;0.00876
2026-01-08;20260108-R1C6;8;-1.90453;0;0.01717
2026-01-08;20260108-R1C6;9;-3.43695;0;0.05257
2026-01-08;20260108-R1C6;10;3.78986;0;0.0179
2026-01-08;20260108-R1C6;11;2.18174;0;0.35047
2026-01-08;20260108-R1C6;12;1.53334;0;0.00904
2026-01-08;20260108-R1C6;13;-4.3894;0;0.01379
2026-01-08;20260108-R1C6;15;-0.91249;0;0.00539
2026-01-08;20260108-R1C7;1;-0.6549;0;0.14327
2026-01-08;20260108-R1C7;2;7.54951;1;0.20127
2026-01-08;20260108-R1C7;3;2.38116;0;0.28177
2026-01-08;20260108-R1C7;4;-2.79935;0;0.16575
2026-01-08;20260108-R1C7;5;2.22206;0;0.04227
2026-01-08;20260108-R1C7;6;-0.47718;0;0.02415
2026-01-08;20260108-R1C7;7;-0.72169;0;0.07685
2026-01-08;20260108-R1C7;8;1.11608;0;0.01565
2026-01-08;20260108-R1C7;9;-6.23301;0;0.01565
2026-01-08;20260108-R1C7;10;0.33929;0;0.02225
2026-01-08;20260108-R1C7;11;-2.72197;0;0.01112
2026-01-08;20260108-R1C8;1;-2.04823;0;0.01411
2026-01-08;20260108-R1C8;2;-1.53132;0;0.1388
2026-01-08;20260108-R1C8;3;2.51871;0;0.23519
2026-01-08;20260108-R1C8;4;1.17756;0;0.05292
2026-01-08;20260108-R1C8;5;0.73635;0;0.11442
2026-01-08;20260108-R1C8;6;-0.36507;0;0.0121
2026-01-08;20260108-R1C8;7;0.14627;0;0.02288
2026-01-08;20260108-R1C8;8;0.53681;0;0.08467
2026-01-08;20260108-R1C8;9;-1.29005;0;0.01728
2026-01-08;20260108-R1C8;10;5.71479;0;0.03024
2026-01-08;20260108-R1C8;11;-5.19752;0;0.00799
2026-01-08;20260108-R1C8;12;0.34934;0;0.12829
2026-01-08;20260108-R1C8;13;-0.74765;1;0.14112
2026-01-08;20260108-R3C2;1;0.75725;0;0.03152
2026-01-08;20260108-R3C2;2;1.85953;0;0.32729
2026-01-08;20260108-R3C2;3;0.26227;0;0.01979
2026-01-08;20260108-R3C2;4;0.94203;0;0.00896
2026-01-08;20260108-R3C2;5;-0.58648;0;0.12893
2026-01-08;20260108-R3C2;6;1.84613;0;0.09561
2026-01-08;20260108-R3C2;7;0.16288;0;0.06546
2026-01-08;20260108-R3C2;8;5.0649;1;0.12701
2026-01-08;20260108-R3C2;9;-3.75763;0;0.01233
2026-01-08;20260108-R3C2;10;-4.16759;0;0.01013
2026-01-08;20260108-R3C2;11;-2.25111;0;0.00868
2026-01-08;20260108-R3C2;12;-1.10312;0;0.04479
2026-01-08;20260108-R3C2;13;2.29406;0;0.11346
2026-01-08;20260108-R3C2;14;-1.32314;0;0.00604
2026-01-08;20260108-R3C3;1;3.79429;0;0.03372
2026-01-08;20260108-R3C3;2;6.08976;0;0.12217
2026-01-08;20260108-R3C3;3;-0.41386;0;0.03242
2026-01-08;20260108-R3C3;4;2.74099;0;0.0281
2026-01-08;20260108-R3C3;5;3.88269;0;0.23416
2026-01-08;20260108-R3C3;6;2.39274;0;0.1028
2026-01-08;20260108-R3C3;7;3.48727;0;0.0562
2026-01-08;20260108-R3C3;8;1.0898;0;0.05269
2026-01-08;20260108-R3C3;9;-10.69142;0;0.07663
2026-01-08;20260108-R3C3;10;-3.02308;0;0.0068
2026-01-08;20260108-R3C3;11;-4.88026;1;0.02161
2026-01-08;20260108-R3C3;12;2.48581;0;0.03665
2026-01-08;20260108-R3C3;13;-6.95473;0;0.19604
2026-01-08;20260108-R3C4;2;-1.02414;0;0.03658
2026-01-08;20260108-R3C4;3;-4.30581;0;0.18696
2026-01-08;20260108-R3C4;4;-0.88121;0;0.01294
2026-01-08;20260108-R3C4;6;2.34473;0;0.0165
2026-01-08;20260108-R3C4;7;1.6317;1;0.4428
2026-01-08;20260108-R3C4;8;-1.19665;0;0.03116
2026-01-08;20260108-R3C4;9;0.75751;0;0.1717
2026-01-08;20260108-R3C4;10;2.67388;0;0.10136
2026-01-08;20260108-R3C5;1;-2.79151;0;0.0065
2026-01-08;20260108-R3C5;2;-0.92363;0;0.01141
2026-01-08;20260108-R3C5;3;7.42446;0;0.00734
2026-01-08;20260108-R3C5;4;-3.73794;0;0.00509
2026-01-08;20260108-R3C5;5;-3.00615;0;0.02559
2026-01-08;20260108-R3C5;6;-2.37868;0;0.10054
2026-01-08;20260108-R3C5;7;1.0756;0;0.07038
2026-01-08;20260108-R3C5;8;-1.22275;0;0.03839
2026-01-08;20260108-R3C5;9;2.7699;0;0.11569
2026-01-08;20260108-R3C5;10;-3.12677;0;0.07038
2026-01-08;20260108-R3C5;11;4.96388;1;0.22225
2026-01-08;20260108-R3C5;12;-3.16397;0;0.00782
2026-01-08;20260108-R3C5;13;3.42791;0;0.26392
2026-01-08;20260108-R3C5;14;-0.79929;0;0.02912
2026-01-08;20260108-R3C5;15;1.48892;0;0.02559
2026-01-08;20260108-R3C6;1;-4.66463;0;0.00565
2026-01-08;20260108-R3C6;2;-5.29611;0;0.00597
2026-01-08;20260108-R3C6;3;3.49198;1;0.03657
2026-01-08;20260108-R3C6;4;-2.91029;0;0.02052
2026-01-08;20260108-R3C6;5;-2.6122;0;0.33646
2026-01-08;20260108-R3C6;6;5.01193;0;0.02214
2026-01-08;20260108-R3C6;7;0.97767;0;0.01335
2026-01-08;20260108-R3C6;8;-0.91735;0;0.09451
2026-01-08;20260108-R3C6;9;-2.20999;0;0.10014
2026-01-08;20260108-R3C6;10;2.11459;0;0.03235
2026-01-08;20260108-R3C6;11;-0.39875;0;0.12191
2026-01-08;20260108-R3C6;12;1.29465;0;0.12745
2026-01-08;20260108-R3C6;13;2.37168;0;0.0647
2026-01-08;20260108-R3C6;14;3.74682;0;0.01829
2026-01-08;20260108-R3C8;1;4.52436;0;0.01226
2026-01-08;20260108-R3C8;2;-0.27895;0;0.09402
2026-01-08;20260108-R3C8;3;0.36907;0;0.15966
2026-01-08;20260108-R3C8;4;-6.07145;0;0.22268
2026-01-08;20260108-R3C8;5;-1.88068;0;0.0092
2026-01-08;20260108-R3C8;6;0.2629;0;0.04701
2026-01-08;20260108-R3C8;7;2.58205;0;0.17269
2026-01-08;20260108-R3C8;8;-3.0724;0;0.07693
2026-01-08;20260108-R3C8;9;3.30247;0;0.04978
2026-01-08;20260108-R3C8;10;0.94243;0;0.02287
2026-01-08;20260108-R3C8;11;0.26399;0;0.00984
2026-01-08;20260108-R3C8;12;-1.05069;0;0.01597
2026-01-08;20260108-R3C8;13;0.10692;1;0.10711
2026-01-08;20260108-R7C1;1;-1.34614;1;0.58966
2026-01-08;20260108-R7C1;2;2.06622;0;0.20638
2026-01-08;20260108-R7C1;3;-3.99598;0;0.07505
2026-01-08;20260108-R7C1;4;3.94178;0;0.04856
2026-01-08;20260108-R7C1;5;2.37956;0;0.02013
2026-01-08;20260108-R7C1;6;-4.24279;0;0.01588
2026-01-08;20260108-R7C1;7;-1.03367;0;0
2026-01-08;20260108-R7C1;8;-1.11086;0;0.02847
2026-01-08;20260108-R7C1;9;1.76245;0;0.01588
2026-01-08;20260108-R7C1;10;1.57943;0;0
2026-01-08;20260108-R7C2;1;1.06526;0;0.09819
2026-01-08;20260108-R7C2;2;1.15217;0;0.04691
2026-01-08;20260108-R7C2;3;1.23907;0;0.03016
2026-01-08;20260108-R7C2;4;-2.90456;0;0.03016
2026-01-08;20260108-R7C2;5;9.22928;0;0.42221
2026-01-08;20260108-R7C2;6;1.49979;0;0.01508
2026-01-08;20260108-R7C2;7;1.58669;1;0.18357
2026-01-08;20260108-R7C2;8;-2.18416;0;0
2026-01-08;20260108-R7C2;9;-0.38321;0;0.05278
2026-01-08;20260108-R7C2;10;-0.82204;0;0
2026-01-08;20260108-R7C2;11;-5.36937;0;0.0908
2026-01-08;20260108-R7C2;12;-4.10894;0;0.03016
2026-01-08;20260108-R7C4;1;2.8436;0;0.07107
2026-01-08;20260108-R7C4;2;-8.03829;0;0.01421
2026-01-08;20260108-R7C4;3;-0.42812;0;0.01421
2026-01-08;20260108-R7C4;5;-6.18434;0;0.11371
2026-01-08;20260108-R7C4;6;1.59129;0;0.02843
2026-01-08;20260108-R7C4;7;0.98498;0;0.01421
2026-01-08;20260108-R7C4;8;-1.0702;0;0.05016
2026-01-08;20260108-R7C4;9;3.89998;0;0.164
2026-01-08;20260108-R7C4;10;1.14634;0;0.05685
2026-01-08;20260108-R7C4;11;2.32265;0;0.03553
2026-01-08;20260108-R7C4;12;1.73282;0;0.22442
2026-01-08;20260108-R7C4;14;1.19928;1;0.2132
2026-01-08;20260108-R7C6;1;2.37182;0;0
2026-01-08;20260108-R7C6;2;-0.47829;0;0
2026-01-08;20260108-R7C6;3;-3.51034;0;0
2026-01-08;20260108-R7C6;4;-0.82661;0;0.02335
2026-01-08;20260108-R7C6;5;1.69021;0;0.02335
2026-01-08;20260108-R7C6;6;-1.65283;0;0
2026-01-08;20260108-R7C6;7;-6.63019;0;0
2026-01-08;20260108-R7C6;8;2.14033;0;0.16165
2026-01-08;20260108-R7C6;9;0.38647;0;0.02335
2026-01-08;20260108-R7C6;10;3.93328;0;0.12546
2026-01-08;20260108-R7C6;11;-3.63949;0;0
2026-01-08;20260108-R7C6;12;2.73022;0;0.02335
2026-01-08;20260108-R7C6;13;-3.54658;0;0.08406
2026-01-08;20260108-R7C6;14;2.27238;0;0.11515
2026-01-08;20260108-R7C6;15;2.37831;1;0.42029
2026-01-08;20260108-R7C6;16;2.38132;0;0
2026-01-08;20260108-R7C7;1;-3.40557;0;0
2026-01-08;20260108-R7C7;3;-0.20539;0;0
2026-01-08;20260108-R7C7;4;-0.09427;0;0.05631
2026-01-08;20260108-R7C7;5;-3.3692;0;0
2026-01-08;20260108-R7C7;6;-4.69095;0;0
2026-01-08;20260108-R7C7;7;5.03007;0;0.0949
2026-01-08;20260108-R7C7;8;-2.2423;0;0.17596
2026-01-08;20260108-R7C7;9;2.42535;0;0.02725
2026-01-08;20260108-R7C7;10;2.19318;0;0.0949
2026-01-08;20260108-R7C7;11;-6.04586;0;0
2026-01-08;20260108-R7C7;12;-0.4274;0;0.08446
2026-01-08;20260108-R7C7;13;2.06836;0;0.0949
2026-01-08;20260108-R7C7;14;0.51213;0;0.19196
2026-01-08;20260108-R7C7;15;7.1885;0;0.0949
2026-01-08;20260108-R7C7;16;1.06335;1;0.08446
2026-01-08;20260108-R7C8;1;-6.62865;0;0
2026-01-08;20260108-R7C8;2;-3.08026;0;0
2026-01-08;20260108-R7C8;3;2.51731;0;0
2026-01-08;20260108-R7C8;4;-1.51308;0;0.0205
2026-01-08;20260108-R7C8;5;-0.82383;0;0
2026-01-08;20260108-R7C8;6;-7.06281;0;0.10128
2026-01-08;20260108-R7C8;7;1.59738;0;0.06466
2026-01-08;20260108-R7C8;8;1.99551;0;0.10128
2026-01-08;20260108-R7C8;9;-1.50288;0;0.05254
2026-01-08;20260108-R7C8;10;1.11122;0;0
2026-01-08;20260108-R7C8;11;4.73396;0;0.12183
2026-01-08;20260108-R7C8;12;-3.50422;0;0
2026-01-08;20260108-R7C8;13;-1.04977;0;0
2026-01-08;20260108-R7C8;14;5.47478;0;0.31135
2026-01-08;20260108-R7C8;15;3.53616;1;0.08406
2026-01-08;20260108-R7C8;16;4.19918;0;0.14248
2026-01-09;20260109-R3C1;1;5.46902;0;0.1111
2026-01-09;20260109-R3C1;2;4.4425;1;0.28732
2026-01-09;20260109-R3C1;3;-3.64612;0;0.09689
2026-01-09;20260109-R3C1;4;-2.12324;0;0.05952
2026-01-09;20260109-R3C1;5;-3.52058;0;0.01602
2026-01-09;20260109-R3C1;6;0.12835;0;0.00992
2026-01-09;20260109-R3C1;7;3.00236;0;0.08332
2026-01-09;20260109-R3C1;8;-2.70865;0;0.02252
2026-01-09;20260109-R3C1;9;3.30414;0;0.03623
2026-01-09;20260109-R3C1;10;0.62345;0;0.08332
2026-01-09;20260109-R3C1;11;4.65151;0;0.01157
2026-01-09;20260109-R3C1;12;-0.43053;0;0.14123
2026-01-09;20260109-R3C1;13;-1.48728;0;0.01055
2026-01-09;20260109-R3C1;14;-1.04648;0;0.00926
2026-01-09;20260109-R3C1;15;-2.87743;0;0.01515
2026-01-09;20260109-R3C1;16;-3.78101;0;0.00608
2026-01-09;20260109-R3C2;1;3.95158;0;0.04012
2026-01-09;20260109-R3C2;2;-0.63349;1;0.42128
2026-01-09;20260109-R3C2;3;-1.94266;0;0.03009
2026-01-09;20260109-R3C2;4;-4.51195;0;0.07021
2026-01-09;20260109-R3C2;5;2.13956;0;0.01277
2026-01-09;20260109-R3C2;6;-0.49828;0;0.19149
2026-01-09;20260109-R3C2;8;1.49524;0;0.23404
